"","MSW05_Order","MSW05_Family","MSW05_Genus","MSW05_Species","MSW05_Binomial","X1.1_ActivityCycle","X5.1_AdultBodyMass_g","X8.1_AdultForearmLen_mm","X13.1_AdultHeadBodyLen_mm","X2.1_AgeatEyeOpening_d","X3.1_AgeatFirstBirth_d","X18.1_BasalMetRate_mLO2hr","X5.2_BasalMetRateMass_g","X6.1_DietBreadth","X7.1_DispersalAge_d","X9.1_GestationLen_d","X12.1_HabitatBreadth","X22.1_HomeRange_km2","X22.2_HomeRange_Indiv_km2","X14.1_InterbirthInterval_d","X15.1_LitterSize","X16.1_LittersPerYear","X17.1_MaxLongevity_m","X5.3_NeonateBodyMass_g","X13.2_NeonateHeadBodyLen_mm","X21.1_PopulationDensity_n.km2","X10.1_PopulationGrpSize","X23.1_SexualMaturityAge_d","X10.2_SocialGrpSize","X24.1_TeatNumber","X12.2_Terrestriality","X6.2_TrophicLevel","X25.1_WeaningAge_d","X5.4_WeaningBodyMass_g","X13.3_WeaningHeadBodyLen_mm","References","X5.5_AdultBodyMass_g_EXT","X16.2_LittersPerYear_EXT","X5.6_NeonateBodyMass_g_EXT","X5.7_WeaningBodyMass_g_EXT","X26.1_GR_Area_km2","X26.2_GR_MaxLat_dd","X26.3_GR_MinLat_dd","X26.4_GR_MidRangeLat_dd","X26.5_GR_MaxLong_dd","X26.6_GR_MinLong_dd","X26.7_GR_MidRangeLong_dd","X27.1_HuPopDen_Min_n.km2","X27.2_HuPopDen_Mean_n.km2","X27.3_HuPopDen_5p_n.km2","X27.4_HuPopDen_Change","X28.1_Precip_Mean_mm","X28.2_Temp_Mean_01degC","X30.1_AET_Mean_mm","X30.2_PET_Mean_mm","MSW93_Order","MSW93_Family","MSW93_Genus","MSW93_Species","MSW93_Binomial","X14.1_InterBirthInterval_d","X26.4_GR_MRLat_dd","X26.7_GR_MRLong_dd"
"542","Rodentia","Bathyergidae","Heterocephalus","glaber","Heterocephalus glaber",2,39.36,-999,129.61,29,-999,25.74,39.25,1,-999,70.49,1,0.004215132,0.003954543,81.1,11.3,4.5,120,1.86,-999,11100,180,-999,-999,-999,1,1,27.28,11,-999,"230;231;242;244;245;247;543;740;1297;1481;1573;1822;1849;1944;2604;2655",-999,-999,-999,-999,1324439.84,11.98,-3.07,4.45,51.41,36.27,43.84,1,17.06,1,0.08,34.35,239.05,520.98,1660.98,NA,NA,NA,NA,NA,NA,NA,NA
"543","Hyracoidea","Procaviidae","Heterohyrax","brucei","Heterohyrax brucei",3,2453.66,-999,468.99,-999,-999,669.24,1287,5,638.75,228.12,2,-999,-999,365,1.89,1,168,225,-999,5751.97,34,510.44,17.5,6,2,1,129.04,-999,-999,"202;543;1297;1355;1822;1848;2151;2629;2655",-999,-999,-999,-999,6954996.2,31.6,-24.22,3.69,51.41,0.06,25.74,0,35.56,0,0.14,61.08,227.27,696.84,1512.99,NA,NA,NA,NA,NA,NA,NA,NA
"544","Rodentia","Heteromyidae","Heteromys","anomalus","Heteromys anomalus",1,69.06,-999,-999,21,-999,100.48,69.3,3,-999,-999,1,-999,-999,-999,2.83,-999,-999,3.29,-999,252.07,-999,-999,1,-999,1,2,-999,-999,-999,"730;905;1297;1822;2151;2159;2477;2655",-999,-999,-999,-999,238956.98,12.46,7.34,9.9,-62.88,-74.24,-68.56,6,89.66,8,0.11,85.6,243.84,1338.21,1798.04,NA,NA,NA,NA,NA,NA,NA,NA
"545","Rodentia","Heteromyidae","Heteromys","australis","Heteromys australis",1,267.49,-999,-999,-999,-999,-999,-999,2,-999,-999,1,-999,-999,-999,2.75,-999,-999,-999,-999,-999,-999,-999,1,-999,1,1,-999,-999,-999,"905;1297;2151;2655",-999,-999,-999,-999,33112.2,9.45,6.37,7.91,-76.83,-78.83,-77.83,2,9.31,3,0.1,217.57,251.17,1556.72,1708.28,NA,NA,NA,NA,NA,NA,NA,NA
"546","Rodentia","Heteromyidae","Heteromys","desmarestianus","Heteromys desmarestianus",1,74,-999,-999,19,-999,98.99,75.8,2,-999,27.86,1,0.001025001,0.001307261,-999,3.06,3.25,-999,3,-999,656.45,-999,237.85,1,-999,1,1,29.77,-999,-999,"730;905;981;982;1297;1822;1849;1876;2151;2655",-999,-999,-999,-999,479714.68,18.88,6.72,12.8,-76.56,-93.96,-85.26,2,56.14,4,0.14,167.46,231.65,1340.95,1641.89,NA,NA,NA,NA,NA,NA,NA,NA
"547","Rodentia","Chinchillidae","Lagostomus","maximus","Lagostomus maximus",2,4660.94,-999,523.73,0,365,1899.52,6784,4,623.65,155.73,2,0.01,0.01,-999,1.93,1.25,112.8,196,-999,-999,22.5,287.76,9.1,4,1,1,55.68,543.46,-999,"443;444;445;446;511;543;890;1297;1462;1573;1594;1822;1849;2151;2342;2655;2990",-999,-999,-999,-999,1907434.12,-18.85,-41.06,-29.96,-56.42,-69.98,-63.2,0,17.08,0,0.08,57.73,163.47,700.97,1041.28,NA,NA,NA,NA,NA,NA,NA,NA
"548","Diprotodontia","Macropodidae","Lagostrophus","fasciatus","Lagostrophus fasciatus",1,1933.48,-999,-999,-999,-999,-999,-999,4,-999,-999,1,-999,-999,365,0.9,-999,48,-999,-999,87.99,-999,391.96,-999,-999,1,1,269.23,359.99,-999,"511;543;899;955;1297;1760;2655;2986",-999,1.1,-999,-999,708.99,-24.76,-26.16,-25.46,113.22,112.91,113.06,0,0,0,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA
"549","Primates","Atelidae","Lagothrix","cana","Lagothrix cana",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"-999",-999,-999,-999,-999,1686027.51,-2.38,-14.39,-8.39,-55.15,-76.19,-65.67,0,3.08,0,0.17,174.31,242.88,1381.48,1561.54,NA,NA,NA,NA,NA,NA,NA,NA
"550","Primates","Atelidae","Lagothrix","lagotricha","Lagothrix lagotricha",3,6263.69,-999,536.39,-999,2766.7,-999,-999,4,-999,223.99,1,2.82,4,638.75,1.01,-999,360,437.09,-999,10.72,-999,1729.33,33,-999,2,2,312.66,-999,-999,"208;543;730;890;905;1297;1544;1547;1577;1848;2145;2151;2251;2344;2371;2463;2488;2489;2493;2655;2660;2986",-999,0.82,-999,-999,797455.26,4.25,-4.2,0.02,-60.5,-76.18,-68.34,0,1.04,0,0.08,226.56,257.89,1516.89,1543.35,NA,NA,NA,NA,NA,NA,NA,NA
"551","Primates","Atelidae","Lagothrix","lugens","Lagothrix lugens",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"-999",-999,-999,-999,-999,129980.9,7.25,-0.15,3.55,-71.8,-76.79,-74.29,0,53.58,1,0.12,117.3,206.31,1434.84,1504.25,NA,NA,NA,NA,NA,NA,NA,NA
