"","Parasite","genus","year","hs","first"
"1","Acanthocephaloides incrassatus","Acanthocephaloides",1858,14,"not the first"
"2","Acanthocephaloides propinquus","Acanthocephaloides",1845,23,"first"
"7","Acanthogyrus lizae","Acanthogyrus",1988,2,"not the first"
"8","Neoechinorhynchus agilis","Neoechinorhynchus",1819,6,"not the first"
"11","Rhadinorhynchus pristis","Rhadinorhynchus",1802,26,"first"
"12","Telosentis exiguus","Telosentis",1901,18,"first"
"13","Acanthogyrus malawiensis","Acanthogyrus",1999,1,"not the first"
"14","Acanthogyrus tilapiae","Acanthogyrus",1948,23,"not the first"
"32","Eocollis arcanus","Eocollis",1947,5,"first"
"34","Eocollis catostomi","Eocollis",1992,2,"not the first"
"36","Leptorhynchoides aphredoderi","Leptorhynchoides",1976,2,"not the first"
"38","Acanthocephalus rauschi","Acanthocephalus",1969,1,"not the first"
"39","Arhythmorhynchus comptus","Arhythmorhynchus",1950,1,"not the first"
"40","Corynosoma clavatum","Corynosoma",1940,7,"not the first"
"42","Corynosoma semerme","Corynosoma",1904,26,"not the first"
"46","Corynosoma strumosum","Corynosoma",1802,78,"first"
"55","Corynosoma validum","Corynosoma",1953,10,"not the first"
"59","Corynosoma villosum","Corynosoma",1953,13,"not the first"
"61","Polymorphus minutus","Polymorphus",1800,26,"not the first"
"62","Corynosoma constrictum","Corynosoma",1918,17,"not the first"
"64","Echinorhynchus gadi","Echinorhynchus",1776,122,"first"
"67","Echinorhynchus salmonis","Echinorhynchus",1784,58,"not the first"
"78","Mediorhynchus robustus","Mediorhynchus",1916,5,"not the first"
"79","Neoechinorhynchus cristatus","Neoechinorhynchus",1936,5,"not the first"
"81","Neoechinorhynchus rutili","Neoechinorhynchus",1780,84,"first"
"82","Neoechinorhynchus strigosus","Neoechinorhynchus",1949,5,"not the first"
"85","Polymorphus marilis","Polymorphus",1939,4,"not the first"
"90","Polymorphus paradoxus","Polymorphus",1957,5,"not the first"
"92","Pomphorhynchus bulbocolli","Pomphorhynchus",1919,58,"not the first"
"99","Southwellina sacra","Southwellina",2002,1,"not the first"
"100","Andracantha baylisi","Andracantha",1986,4,"not the first"
"108","Andracantha clavata","Andracantha",1940,2,"not the first"
"117","Bolbosoma balaenae","Bolbosoma",1790,8,"first"
"125","Bolbosoma brevicolle","Bolbosoma",1867,6,"not the first"
"132","Bolbosoma hamiltoni","Bolbosoma",1929,3,"not the first"
"134","Bolbosoma physeteris","Bolbosoma",1952,2,"not the first"
"136","Bolbosoma tuberculata","Bolbosoma",1970,4,"not the first"
"140","Bolbosoma turbinella","Bolbosoma",NA,9,"not the first"
"143","Bolbosoma turbinella","Bolbosoma",1972,9,"not the first"
"145","Corynosoma arctocephali","Corynosoma",1984,16,"not the first"
"167","Corynosoma australe","Corynosoma",1937,22,"not the first"
"173","Corynosoma bullosum","Corynosoma",1892,34,"not the first"
"232","Corynosoma evae","Corynosoma",1984,5,"not the first"
"238","Corynosoma hamanni","Corynosoma",1892,24,"not the first"
"289","Corynosoma hannae","Corynosoma",1984,1,"not the first"
"290","Corynosoma mirabilis","Corynosoma",1966,1,"not the first"
"291","Corynosoma pseudohamanni","Corynosoma",1984,24,"not the first"
"339","Corynosoma shackletoni","Corynosoma",1978,8,"not the first"
"351","Corynosoma singularis","Corynosoma",1971,2,"not the first"
"353","Echinorhynchus debenhami","Echinorhynchus",1914,3,"not the first"
"354","Echinorhynchus muraenolepisi","Echinorhynchus",1984,1,"not the first"
"355","Echinorhynchus petrotschenkoi","Echinorhynchus",1984,10,"not the first"
"368","Heterosentis heteracanthus","Heterosentis",1896,6,"first"
"379","Heterosentis magellanicus","Heterosentis",1950,2,"not the first"
"380","Hypoechinorhynchus magellanicus","Hypoechinorhynchus",1950,1,"not the first"
"381","Metacanthocephalus campbelli","Metacanthocephalus",1914,9,"first"
"397","Metacanthocephalus dalmori","Metacanthocephalus",1983,20,"not the first"
"429","Metacanthocephalus johnstoni","Metacanthocephalus",1983,11,"not the first"
"457","Metacanthocephalus rennicki","Metacanthocephalus",1914,4,"first"
"465","Metechinorhynchus muraenolepisi","Metechinorhynchus",1884,1,"not the first"
"466","Profilicollis antarcticus","Profilicollis",1985,3,"not the first"
"467","Acanthocephalus alabamensis","Acanthocephalus",NA,1,"not the first"
"468","Andracantha gravida","Andracantha",1941,4,"not the first"
"469","Floridosentis mugilis","Floridosentis",1951,3,"first"
"470","Hexaglandula corynsoma","Hexaglandula",1915,3,"not the first"
"471","Moniliformis moniliformis","Moniliformis",1819,27,"first"
"473","Plagiorhynchus crassicolle","Plagiorhynchus",1875,1,"not the first"
"474","Acanthosentis arii","Acanthosentis",1974,0,"not the first"
"476","Bolbosoma vasculosum","Bolbosoma",1819,27,"not the first"
"477","Centrorhynchus betharidae","Centrorhynchus",1987,1,"not the first"
"478","Echinorhynchus meyeri","Echinorhynchus",1984,1,"not the first"
"479","Echinorhynchus veli","Echinorhynchus",1978,0,"not the first"
"480","Euzetacanthus chorinemusi","Euzetacanthus",1986,0,"not the first"
"481","Filisoma inglisi","Filisoma",1986,0,"not the first"
"482","Hexaglandula ariusis","Hexaglandula",1974,0,"not the first"
"484","Hexaglandula karachiensis","Hexaglandula",1974,0,"not the first"
"486","Longicollum indicum","Longicollum",1971,0,"not the first"
"487","Longicollum psettodensai","Longicollum",1979,1,"not the first"
"488","Longicollum quiloni","Longicollum",1986,0,"not the first"
"489","Metarhadinorhynchus echeneisi","Metarhadinorhynchus",1991,1,"not the first"
"490","Metarhadinorhynchus valiyathurae","Metarhadinorhynchus",1990,2,"not the first"
"493","Neoechinorhynchus johni","Neoechinorhynchus",1971,0,"not the first"
"494","Neoechinorhynchus johnii","Neoechinorhynchus",1939,1,"not the first"
"495","Neorhadinorhynchus nudus","Neorhadinorhynchus",1938,5,"first"
"496","Pallisentis clupei","Pallisentis",1979,0,"not the first"
"497","Paracanthocephaloides plotosi","Paracanthocephaloides",1935,1,"first"
"498","Pseudorhadinorhynchus cinereus","Pseudorhadinorhynchus",1983,1,"not the first"
"501","Pseudorhadinorhynchus cochinensis","Pseudorhadinorhynchus",1984,1,"not the first"
"502","Pseudorhadinorhynchus dussumieri","Pseudorhadinorhynchus",1972,0,"not the first"
"503","Pseudorhadinorhynchus eranakulensis","Pseudorhadinorhynchus",1972,0,"not the first"
"504","Pseudorhadinorhynchus longicollum","Pseudorhadinorhynchus",1986,0,"not the first"
"505","Pseudorhadinorhynchus mujibi","Pseudorhadinorhynchus",1983,0,"not the first"
"507","Raorhynchus polynemi","Raorhynchus",1959,1,"not the first"
"508","Rhadinorhynchus cadenati","Rhadinorhynchus",1964,4,"not the first"
"509","Rhadinorhynchus echeneisi","Rhadinorhynchus",1979,0,"not the first"
"510","Rhadinorhynchus pelamysi","Rhadinorhynchus",1979,0,"not the first"
"511","Rhadinorhynchus plotosi","Rhadinorhynchus",1985,1,"not the first"
"512","Rhadinorhynchus polynemi","Rhadinorhynchus",1967,1,"not the first"
"514","Serrasentis engraulisi","Serrasentis",1979,0,"not the first"
"515","Serrasentis giganticus","Serrasentis",1973,2,"not the first"
"520","Serrasentis longiformis","Serrasentis",1974,2,"not the first"
"524","Serrasentis longus","Serrasentis",1972,0,"not the first"
"525","Serrasentis mujibi","Serrasentis",1972,0,"not the first"
"526","Serrasentis nadakali","Serrasentis",1978,10,"not the first"
"535","Serrasentis psenesi","Serrasentis",1979,0,"not the first"
"536","Serrasentis sagittifer","Serrasentis",1889,33,"not the first"
"539","Serrasentis sciaenus","Serrasentis",1972,1,"not the first"
"540","Tenuiproboscis bilqeesae","Tenuiproboscis",1992,1,"not the first"
"541","Tenuiproboscis edmondi","Tenuiproboscis",1992,0,"not the first"
"542","Tenuiproboscis ernakulensis","Tenuiproboscis",1992,1,"not the first"
"543","Tenuiproboscis sergenti","Tenuiproboscis",1952,0,"not the first"
"546","Bolbosoma capitatum","Bolbosoma",NA,4,"not the first"
"548","Bolbosoma nipponicum","Bolbosoma",1939,10,"not the first"
"550","Corynosoma alaskensis","Corynosoma",1959,0,"not the first"
"551","Corynosoma cameroni","Corynosoma",NA,1,"not the first"
"552","Corynosoma erignathi","Corynosoma",2000,1,"not the first"
"553","Corynosoma hadweni","Corynosoma",1953,2,"not the first"
"554","Corynosoma reductum","Corynosoma",NA,5,"not the first"
"569","Corynosoma septentrionalis","Corynosoma",1966,1,"not the first"
"597","Corynosoma ventronudum","Corynosoma",1959,2,"not the first"
"601","Corynosoma wegeneri","Corynosoma",1934,18,"not the first"
"638","Echinorhynchus leidyi","Echinorhynchus",1924,11,"not the first"
"639","Metechinorhynchus salmonis","Metechinorhynchus",1780,44,"first"
"640","Neoechinorhynchus crassus","Neoechinorhynchus",1922,8,"not the first"
"642","Polymorphus phippsi","Polymorphus",1922,2,"not the first"
"644","Pseudoechinorhynchus borealis","Pseudoechinorhynchus",1901,14,"not the first"
"645","Acanthocephalus tumescens","Acanthocephalus",1896,11,"not the first"
"658","Gorytocephalus talaensis","Gorytocephalus",1988,0,"not the first"
"659","Hamanniella carinii","Hamanniella",1916,2,"exclude"
"662","Neoechinorhynchus villoldoi","Neoechinorhynchus",1992,1,"not the first"
"663","Polymorphus cetaceus","Polymorphus",1942,4,"not the first"
"664","Polymorphus chasmagnathi","Polymorphus",1977,3,"not the first"
"667","Pomphorhynchus patagonicus","Pomphorhynchus",NA,7,"not the first"
"676","Wolffhugelia matercula","Wolffhugelia",1974,4,"exclude"
"680","Oncicola oncicola","Oncicola",1892,2,"first"
"682","Centrorhynchus wardae","Centrorhynchus",1956,2,"not the first"
"684","Fessisentis vancleavei","Fessisentis",1943,3,"not the first"
"685","Fessisentis vancleavei","Fessisentis",1953,3,"not the first"
"687","Macracanthorhynchus ingens","Macracanthorhynchus",1879,17,"not the first"
"688","Mediorhynchus grandis","Mediorhynchus",1916,2,"not the first"
"689","Moniliformis clarki","Moniliformis",1917,9,"not the first"
"690","Neoechinorhynchus chrysemydis","Neoechinorhynchus",1954,3,"not the first"
"692","Neoechinorhynchus emydis","Neoechinorhynchus",1851,1,"not the first"
"693","Neoechinorhynchus emyditoides","Neoechinorhynchus",1960,1,"not the first"
"694","Neoechinorhynchus pseudemydis","Neoechinorhynchus",1954,1,"not the first"
"696","Neoechinorhynchus stunkardi","Neoechinorhynchus",1961,2,"not the first"
"697","Oligacanthorhynchus tortuosa","Oligacanthorhynchus",1850,4,"not the first"
"699","Plagiorhynchus cylindraceus","Plagiorhynchus",1782,54,"first"
"700","Filicollis anatis","Filicollis",1788,18,"exclude"
"701","Mediorhynchus armenicus","Mediorhynchus",1956,1,"not the first"
"702","Metechinorhynchus baeri","Metechinorhynchus",1928,0,"not the first"
"703","Polymorphus magnus","Polymorphus",1913,27,"not the first"
"707","Pomphorhynchus kostylewi","Pomphorhynchus",1956,0,"not the first"
"708","Pomphorhynchus laevis","Pomphorhynchus",1776,76,"first"
"709","Prosthorhynchus gracilis","Prosthorhynchus",1958,1,"not the first"
"711","Prosthorhynchus scolopacidis","Prosthorhynchus",NA,3,"not the first"
"714","Quadrigyrus cholodkowskyi","Quadrigyrus",1928,0,"not the first"
"715","Acanthocephaloides distinctus","Acanthocephaloides",1969,2,"not the first"
"718","Acanthocephaloides geneticus","Acanthocephaloides",1985,1,"not the first"
"736","Acanthocephaloides kostylewi","Acanthocephaloides",1932,1,"not the first"
"778","Acanthocephaloides rhytidotes","Acanthocephaloides",1904,0,"not the first"
"779","Acanthocephaloides soleae","Acanthocephaloides",1905,1,"not the first"
"780","Acanthocephalus anguillae","Acanthocephalus",1780,46,"not the first"
"794","Acanthocephalus clavula","Acanthocephalus",1845,13,"not the first"
"796","Acanthocephalus dirus","Acanthocephalus",1931,37,"not the first"
"798","Acanthocephalus gracilacanthus","Acanthocephalus",1932,1,"not the first"
"799","Acanthocephalus incrassatus","Acanthocephalus",1858,1,"not the first"
"801","Acanthocephalus lucii","Acanthocephalus",1777,45,"first"
"820","Acanthogyrus lizae","Acanthogyrus",NA,2,"not the first"
"821","Acanthogyrus acanthuri","Acanthogyrus",1954,1,"not the first"
"824","Amapacanthus amazonicus","Amapacanthus",2000,1,"exclude"
"838","Arhythmorhynchus uncinatus","Arhythmorhynchus",1893,1,"not the first"
"839","Atactorhynchus verecundus","Atactorhynchus",1937,1,"exclude"
"922","Breizacanthus chabaudi","Breizacanthus",1969,1,"first"
"923","Breizacanthus irenae","Breizacanthus",1969,2,"first"
"925","Caballerorhynchus lamothei","Caballerorhynchus",1977,9,"exclude"
"973","Corynosoma cetaceum","Corynosoma",1943,6,"not the first"
"978","Corynosoma eperlani","Corynosoma",1884,1,"not the first"
"985","Corynosoma magdaleni","Corynosoma",1958,7,"not the first"
"993","Corynosoma obtuscens","Corynosoma",1943,1,"not the first"
"1098","Dollfusentis bravoae","Dollfusentis",1976,1,"not the first"
"1099","Dollfusentis chandleri","Dollfusentis",1969,23,"not the first"
"1126","Dollfusentis ctenorhynchus","Dollfusentis",1963,1,"first"
"1127","Dollfusentis heteracanthus","Dollfusentis",1963,4,"first"
"1132","Echinorhynchus acus","Echinorhynchus",NA,3,"not the first"
"1133","Echinorhynchus annulatus","Echinorhynchus",NA,1,"not the first"
"1134","Echinorhynchus borealis","Echinorhynchus",1901,17,"not the first"
"1142","Echinorhynchus bothniensis","Echinorhynchus",1987,18,"not the first"
"1157","Echinorhynchus brayi","Echinorhynchus",1999,1,"not the first"
"1158","Echinorhynchus gadi","Echinorhynchus",1942,122,"first"
"1159","Echinorhynchus gadi","Echinorhynchus",1994,122,"first"
"1328","Echinorhynchus georgianus","Echinorhynchus",1986,1,"not the first"
"1329","Echinorhynchus lateralis","Echinorhynchus",1851,18,"not the first"
"1330","Echinorhynchus laurentianus","Echinorhynchus",1957,9,"not the first"
"1347","Echinorhynchus longiproboscis","Echinorhynchus",1986,3,"not the first"
"1352","Echinorhynchus melanoglaea","Echinorhynchus",1960,0,"not the first"
"1362","Echinorhynchus rythidodes","Echinorhynchus",1905,0,"not the first"
"1391","Echinorhynchus sciaenae","Echinorhynchus",1819,0,"not the first"
"1392","Echinorhynchus trachyrinci","Echinorhynchus",1997,0,"not the first"
"1396","Echinorhynchus truttae","Echinorhynchus",1788,19,"not the first"
"1398","Euzetacanthus simplex","Euzetacanthus",1810,2,"first"
"1400","Filisoma fidum","Filisoma",1932,1,"not the first"
"1401","Floridosentis elongatus","Floridosentis",1953,3,"not the first"
"1407","Golvanacanthus blennii","Golvanacanthus",1972,5,"first"
"1414","Golvanacanthus problematicus","Golvanacanthus",1978,0,"not the first"
"1415","Golvanorhynchus golvani","Golvanorhynchus",1978,1,"exclude"
"1416","Gorgorhynchoides bullocki","Gorgorhynchoides",1970,5,"not the first"
"1421","Gorgorhynchoides elongatus","Gorgorhynchoides",NA,4,"not the first"
"1427","Gorgorhynchoides lintoni","Gorgorhynchoides",1970,3,"not the first"
"1430","Gorgorhynchus bullocki","Gorgorhynchus",NA,1,"not the first"
"1431","Gorgorhynchus cablei","Gorgorhynchus",1969,1,"not the first"
"1432","Gorgorhynchus clavatus","Gorgorhynchus",1940,2,"not the first"
"1434","Gorgorhynchus medius","Gorgorhynchus",1907,4,"first"
"1438","Gorgorhynchus robertdollfusi","Gorgorhynchus",1956,1,"not the first"
"1439","Gracilisentis gracilisentis","Gracilisentis",1913,1,"not the first"
"1449","Illiosentis furcatus","Illiosentis",1956,1,"first"
"1450","Illiosentis heteracanthus","Illiosentis",1963,4,"not the first"
"1455","Leptorhynchoides plagicephalus","Leptorhynchoides",1821,6,"first"
"1458","Longicollum pagrosomi","Longicollum",1935,6,"first"
"1459","Machadosentis travassosi","Machadosentis",1992,1,"exclude"
"1469","Metechinorhynchus malacocephali","Metechinorhynchus",1985,1,"not the first"
"1487","Neoechinorhynchus doryphorus","Neoechinorhynchus",1949,3,"not the first"
"1490","Neoechinorhynchus roseum","Neoechinorhynchus",1978,1,"not the first"
"1491","Neoechinorhynchus rostratum","Neoechinorhynchus",1998,4,"not the first"
"1531","Neoechinorhynchus tylosuri","Neoechinorhynchus",1939,3,"not the first"
"1532","Neorhadinorhynchus atlanticus","Neorhadinorhynchus",1977,1,"not the first"
"1533","Neorhadinorhynchus myctophumi","Neorhadinorhynchus",1988,2,"not the first"
"1535","Paracanthocephaloides chabanaudi","Paracanthocephaloides",1951,2,"not the first"
"1537","Paratenuisentis ambiguus","Paratenuisentis",1921,13,"exclude"
"1546","Polymorphus botulus","Polymorphus",1916,4,"not the first"
"1550","Polymorphus chasmagnathi","Polymorphus",NA,3,"not the first"
"1551","Polymorphus contortus","Polymorphus",1821,2,"not the first"
"1552","Polymorphus kenti","Polymorphus",1947,2,"not the first"
"1561","Polymorphus obtusus","Polymorphus",1918,6,"not the first"
"1562","Polymorphus cetaceum","Polymorphus",NA,1,"not the first"
"1563","Polymorphus botulus","Polymorphus",NA,4,"not the first"
"1609","Pomphorhynchus lucyi","Pomphorhynchus",1984,4,"not the first"
"1611","Pomphorhynchus rocci","Pomphorhynchus",1967,7,"not the first"
"1616","Pomphorhynchus tereticollis","Pomphorhynchus",1809,2,"not the first"
"1618","Profilicollis botulus","Profilicollis",1916,8,"first"
"1619","Prosthorhynchus cylindraceus","Prosthorhynchus",1782,15,"first"
"1622","Rhadinorhynchoides chromitides","Rhadinorhynchoides",NA,1,"exclude"
"1629","Rhadinorhynchus lintoni","Rhadinorhynchus",1963,3,"not the first"
"1673","Rhadinorhynchus saltatrix","Rhadinorhynchus",1973,1,"not the first"
"1674","Rhadinorhynchus tenuicornis","Rhadinorhynchus",1918,4,"not the first"
"1701","Serrasentis socialis","Serrasentis",1851,12,"first"
"1717","Southwellina breve","Southwellina",1916,1,"first"
"1718","Southwellina dimorpha","Southwellina",1973,5,"not the first"
"1719","Tegorhynchus furcatus","Tegorhynchus",1939,7,"not the first"
"1750","Telosentis molini","Telosentis",1923,1,"not the first"
"1752","Acanthocephalus criniae","Acanthocephalus",1971,2,"not the first"
"1755","Acanthocephalus hastae","Acanthocephalus",1944,1,"not the first"
"1756","Arhythmorhynchus johnstoni","Arhythmorhynchus",1960,1,"not the first"
"1757","Arhythmorhynchus limosae","Arhythmorhynchus",1971,1,"not the first"
"1758","Australiformis semoni","Australiformis",1898,8,"exclude"
"1769","Centrorhynchus asturinus","Centrorhynchus",1913,6,"not the first"
"1776","Centrorhynchus bancrofti","Centrorhynchus",1943,2,"not the first"
"1778","Centrorhynchus horridus","Centrorhynchus",1897,1,"not the first"
"1789","Corynosoma stanleyi","Corynosoma",1986,1,"not the first"
"1797","Gorgorhynchus celebesensis","Gorgorhynchus",1954,3,"not the first"
"1801","Heterosentis hirsutus","Heterosentis",1999,0,"not the first"
"1802","Heterosentis paraplagusiarum","Heterosentis",1972,1,"not the first"
"1803","Hypoechinorhynchus alaeopis","Hypoechinorhynchus",1939,0,"first"
"1805","Longicollum edmondsi","Longicollum",1969,1,"not the first"
"1806","Macracanthorhynchus hirudinaceus","Macracanthorhynchus",1781,3,"first"
"1810","Mediorhynchus alecturae","Mediorhynchus",1947,1,"not the first"
"1811","Mediorhynchus colluricinclae","Mediorhynchus",2002,3,"not the first"
"1815","Mediorhynchus corcoracis","Mediorhynchus",1951,5,"not the first"
"1823","Micracanthorhynchina hemirhamphi","Micracanthorhynchina",1944,0,"not the first"
"1828","Multisentis myrmecobius","Multisentis",1997,1,"exclude"
"1831","Neoechinorhynchus aldrichettae","Neoechinorhynchus",1971,1,"not the first"
"1832","Oncicola pomatostomi","Oncicola",1912,26,"not the first"
"1871","Paracanthorhynchus galaxiasus","Paracanthorhynchus",1967,0,"exclude"
"1872","Pararhadinorhynchus coorongensis","Pararhadinorhynchus",1973,1,"not the first"
"1873","Pararhadinorhynchus mugilis","Pararhadinorhynchus",1947,1,"first"
"1874","Plagiorhynchus charadrii","Plagiorhynchus",1939,13,"not the first"
"1877","Plagiorhynchus menurae","Plagiorhynchus",NA,2,"not the first"
"1892","Plagiorhynchus menurae","Plagiorhynchus",1912,2,"not the first"
"1918","Plagiorhynchus gracilis","Plagiorhynchus",1958,5,"not the first"
"1919","Polymorphus arctocephali","Polymorphus",1986,1,"not the first"
"1920","Polymorphus biziurae","Polymorphus",1948,2,"not the first"
"1926","Porrorchis hydromuris","Porrorchis",1957,1,"not the first"
"1928","Porrorchis hylae","Porrorchis",1914,6,"first"
"1940","Pseudoacanthocephalus perthensis","Pseudoacanthocephalus",1971,2,"not the first"
"1942","Pseudoporrorchis hydromuris","Pseudoporrorchis",1957,1,"exclude"
"1943","Rhadinorhynchus carangis","Rhadinorhynchus",1939,1,"not the first"
"1944","Rhadinorhynchus johnstoni","Rhadinorhynchus",1969,2,"not the first"
"1945","Sclerocollum robustum","Sclerocollum",1964,2,"first"
"1950","Sphaerechinorhynchus rotundocapitatus","Sphaerechinorhynchus",1912,7,"first"
"1967","Tegorhynchus edmondsi","Tegorhynchus",1960,1,"not the first"
"1968","Telosentis australiensis","Telosentis",1964,0,"not the first"
"1975","Acanthocephalus falcatus","Acanthocephalus",1789,5,"not the first"
"1989","Acanthocephalus ranae","Acanthocephalus",1788,12,"not the first"
"1994","Arhythmorhynchus frassoni","Arhythmorhynchus",1858,5,"first"
"1995","Centrorhynchus aluconis","Centrorhynchus",1780,14,"first"
"1998","Centrorhynchus areolatus","Centrorhynchus",1819,3,"not the first"
"1999","Centrorhynchus buteonis","Centrorhynchus",1788,10,"not the first"
"2005","Centrorhynchus cylindraceus","Centrorhynchus",1788,2,"not the first"
"2007","Centrorhynchus dimorphocephalus","Centrorhynchus",1821,1,"not the first"
"2008","Centrorhynchus globocaudatus","Centrorhynchus",1800,20,"not the first"
"2010","Centrorhynchus lancea","Centrorhynchus",1821,4,"not the first"
"2012","Centrorhynchus teres","Centrorhynchus",1821,4,"not the first"
"2015","Corynosoma pyriforme","Corynosoma",1819,1,"not the first"
"2016","Echinorhynchus amphipachus","Echinorhynchus",1821,1,"not the first"
"2017","Echinorhynchus appendiculatus","Echinorhynchus",1821,1,"not the first"
"2018","Echinorhynchus fasciatus","Echinorhynchus",1821,2,"not the first"
"2033","Mediorhynchus micracanthus","Mediorhynchus",1819,33,"not the first"
"2045","Metechinorhynchus truttae","Metechinorhynchus",1788,12,"not the first"
"2050","Moniliformis gracilis","Moniliformis",1819,1,"first"
"2066","Nephridiacanthus major","Nephridiacanthus",1811,1,"exclude"
"2067","Nephridiorhynchus major","Nephridiorhynchus",1811,2,"first"
"2068","Oligacanthorhynchus compressus","Oligacanthorhynchus",1802,2,"not the first"
"2070","Oligacanthorhynchus erinacei","Oligacanthorhynchus",1793,2,"first"
"2072","Oligacanthorhynchus lageniformis","Oligacanthorhynchus",1821,1,"not the first"
"2073","Oligacanthorhynchus ricinoides","Oligacanthorhynchus",1809,1,"not the first"
"2081","Polymorphus striatus","Polymorphus",1782,3,"first"
"2100","Prosthorhynchus linearis","Prosthorhynchus",1821,1,"not the first"
"2102","Pseudoechinorhynchus clavula","Pseudoechinorhynchus",1845,2,"first"
"2104","Prosthorhynchus gallinagi","Prosthorhynchus",1958,1,"not the first"
"2119","Mediorhynchus taeniatum","Mediorhynchus",1801,2,"first"
"2284","Acanthogyrus acanthogyrus","Acanthogyrus",1927,2,"first"
"2285","Acanthogyrus dattai","Acanthogyrus",1938,1,"not the first"
"2286","Acanthogyrus indicus","Acanthogyrus",1959,1,"not the first"
"2289","Echinorhynchus kushiroensis","Echinorhynchus",1921,1,"not the first"
"2290","Neoechinorhynchus aminulhaquei","Neoechinorhynchus",1983,1,"not the first"
"2291","Neoechinorhynchus chilkaensis","Neoechinorhynchus",1937,2,"not the first"
"2292","Pallisentis gaboes","Pallisentis",1918,5,"first"
"2294","Pallisentis nagpurensis","Pallisentis",1931,4,"not the first"
"2297","Pallisentis nandai","Pallisentis",1953,2,"not the first"
"2298","Pallisentis ophiocephali","Pallisentis",1930,1,"not the first"
"2304","Pallisentis garuei","Pallisentis",1971,2,"not the first"
"2314","Cleaveius secundus","Cleaveius",1959,1,"first"
"2315","Echinorhynchus indicus","Echinorhynchus",1987,0,"not the first"
"2316","Filisoma hoogliensis","Filisoma",1960,1,"not the first"
"2317","Filisoma indicum","Filisoma",1928,2,"first"
"2318","Filisoma scatophagusi","Filisoma",1962,1,"not the first"
"2319","Hanumantharaorhynchus hemirhamphi","Hanumantharaorhynchus",1984,0,"exclude"
"2320","Heterosentis plotosi","Heterosentis",1935,2,"not the first"
"2322","Mehrarhynchus clupei","Mehrarhynchus",1992,0,"not the first"
"2323","Mehrarhynchus prashadi","Mehrarhynchus",1940,1,"first"
"2324","Mehrarhynchus puriensis","Mehrarhynchus",1992,0,"not the first"
"2325","Mehrarhynchus secundus","Mehrarhynchus",1956,2,"not the first"
"2328","Metarhadinorhynchus thaparus","Metarhadinorhynchus",1975,1,"not the first"
"2329","Micracanthorhynchina golvani","Micracanthorhynchina",1992,1,"not the first"
"2330","Neoechinorhynchus bangoni","Neoechinorhynchus",1959,0,"not the first"
"2332","Neoechinorhynchus elongatus","Neoechinorhynchus",1959,0,"not the first"
"2334","Neoechinorhynchus ovalis","Neoechinorhynchus",1956,1,"not the first"
"2335","Neoechinorhynchus topseyi","Neoechinorhynchus",1937,1,"not the first"
"2337","Pallisentis fotedari","Pallisentis",1992,0,"not the first"
"2338","Pseudorhadinorhynchus orissai","Pseudorhadinorhynchus",1985,0,"not the first"
"2339","Pseudorhadinorhynchus srivastavai","Pseudorhadinorhynchus",1985,1,"not the first"
"2340","Quadrigyrus guptai","Quadrigyrus",1992,0,"not the first"
"2341","Raorhynchus cadenati","Raorhynchus",1992,0,"not the first"
"2343","Rhadinorhynchus ganapatii","Rhadinorhynchus",1985,2,"not the first"
"2346","Rhadinorhynchus indicus","Rhadinorhynchus",1956,2,"not the first"
"2349","Serrasentis golvani","Serrasentis",1989,0,"not the first"
"2350","Serrasentis indicus","Serrasentis",1998,1,"not the first"
"2351","Serrasentis longa","Serrasentis",1956,2,"not the first"
"2353","Telosentis lutianusi","Telosentis",1990,0,"not the first"
"2354","Tenuiproboscis clupei","Tenuiproboscis",1992,0,"not the first"
"2355","Tenuiproboscis guptai","Tenuiproboscis",1990,1,"not the first"
"2358","Prosthorhynchus cylindraceus","Prosthorhynchus",1778,15,"first"
"2359","Arhythmorhynchus longicollis","Arhythmorhynchus",1875,4,"not the first"
"2420","Polyacanthorhynchus rhopalorhynchus","Polyacanthorhynchus",1856,2,"first"
"2421","Plagiorhynchus malayensis","Plagiorhynchus",1935,2,"not the first"
"2422","Acanthocephalus aenigma","Acanthocephalus",1923,0,"not the first"
"2424","Acanthocephalus correalimai","Acanthocephalus",NA,0,"not the first"
"2425","Apororhynchus aculeatus","Apororhynchus",1931,0,"first"
"2426","Centrorhynchus tumidulus","Centrorhynchus",1819,1,"not the first"
"2428","Echinorhynchus briconi","Echinorhynchus",1959,1,"not the first"
"2429","Echinorhynchus gomezi","Echinorhynchus",1949,0,"not the first"
"2430","Echinorhynchus jucundus","Echinorhynchus",1923,0,"not the first"
"2431","Echinorhynchus lutzi","Echinorhynchus",1891,0,"not the first"
"2432","Echinorhynchus oligacanthoides","Echinorhynchus",1819,0,"not the first"
"2433","Echinorhynchus paranensis","Echinorhynchus",1959,1,"not the first"
"2434","Echinorhynchus salobrensis","Echinorhynchus",1948,0,"not the first"
"2435","Gigantorhynchus echinodiscus","Gigantorhynchus",1851,2,"exclude"
"2437","Gorytocephalus elongorchis","Gorytocephalus",1979,1,"not the first"
"2438","Gracilisentis variabilis","Gracilisentis",1856,3,"first"
"2453","Mediorhynchus papillosus","Mediorhynchus",1916,20,"not the first"
"2454","Megapriapus ungriai","Megapriapus",1960,1,"exclude"
"2455","Neoechinorhynchus buttnerae","Neoechinorhynchus",1956,1,"not the first"
