"Parasite.species","Parasite.genus","Parasite.group","Host.species","Host.no","Stage","Egg.hatch","Development.time","Temp","Development.remarks","Length","Width","Max.length","Max.width","n","Size.reported.as","Shape","Asexual","Sex","Size.remarks","Author","Year","Journal","Volume","Pages"
"Abbreviata antarctica","Abbreviata","nematode",NA,0,"egg","eaten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbreviata antarctica","Abbreviata","nematode",NA,0,"embryo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbreviata antarctica","Abbreviata","nematode","Teleogryllus oceanicus",1,"1larv",NA,25.5,28,NA,1.6,NA,2.4,NA,NA,"range","thread-like",NA,NA,NA,"King et al.","2013","J. Parasitol.","99","708-711"
"Abbreviata antarctica","Abbreviata","nematode",NA,2,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbreviata caucasica","Abbreviata","nematode",NA,0,"egg","eaten",NA,NA,NA,0.0375,0.03,0.04,0.035,NA,"range","ellipsoid",NA,NA,"additional 'gelatinous deposit' around the egg","Poinar and Quentin","1972","J. Parasitol.","58","23-28"
"Abbreviata caucasica","Abbreviata","nematode",NA,0,"embryo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbreviata caucasica","Abbreviata","nematode","Blatella germanica",1,"1larv",NA,55,20,"Physaloptera caucasica now?; achieve third stage sometime between 40 and 55 dpe",1.7,0.085,NA,NA,1,"point","thread-like",NA,NA,"capsule size: 560 x 360","Poinar and Quentin","1972","J. Parasitol.","58","23-28"
"Abbreviata caucasica","Abbreviata","nematode","Schistocerca gregaria",1,"1larv",NA,11,30,"Physaloptera caucasica now?...developed worse in cockroaches (>50 days), but kept at lower temp",2.75,0.155,3.7,0.26,3,"range","thread-like",NA,NA,"max size from 50 dpe, mean from 11 dpe","Poinar and Quentin","1972","J. Parasitol.","58","23-28"
"Abbreviata caucasica","Abbreviata","nematode","Homo sapiens",2,"adult",NA,NA,NA,NA,40,2.5,50,3,NA,"range","thread-like",NA,"m",NA,"Leiper","1908","Trans. R. Soc. Trop. Med. Hyg.","1","76-82"
"Abbreviata caucasica","Abbreviata","nematode","Homo sapiens",2,"adult",NA,NA,NA,NA,47.5,2.5,55,3,NA,"range","thread-like",NA,"f",NA,"Leiper","1908","Trans. R. Soc. Trop. Med. Hyg.","1","76-82"
"Abbreviata caucasica","Abbreviata","nematode","Homo sapiens",2,"adult",NA,NA,NA,NA,19,NA,24,NA,NA,"range","thread-like",NA,"m","cites Schulz 1926; might be synonomous with Physaloptera mordens, which is bigger","Ortlepp","1926","J. Helminthol.","4","199-202"
"Abbreviata caucasica","Abbreviata","nematode","Homo sapiens",2,"adult",NA,NA,NA,NA,24,NA,NA,NA,NA,"point","thread-like",NA,"f","cites Schulz 1926; might be synonomous with Physaloptera mordens, which is bigger","Ortlepp","1926","J. Helminthol.","4","199-202"
"Abbreviata kazachstanica","Abbreviata","nematode",NA,0,"egg","eaten",NA,NA,NA,0.06025,0.044,0.066,NA,NA,"range","ellipsoid",NA,NA,NA,"Kabilov","1980","Parazitologiya","14","263-270"
"Abbreviata kazachstanica","Abbreviata","nematode",NA,0,"embryo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbreviata kazachstanica","Abbreviata","nematode","Orthoptera",1,"1larv",NA,21.5,NA,"molt 13-15 dpi to L3 at ~2 mm but continue growing and not considered infective yet",7.4,0.175,11.15,0.19,NA,"range","thread-like",NA,NA,NA,"Kabilov","1980","Parazitologiya","14","263-270"
"Abbreviata kazachstanica","Abbreviata","nematode","Coeloptera",1,"1larv",NA,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kabilov","1980","Parazitologiya","14","263-270"
"Abbreviata kazachstanica","Abbreviata","nematode",NA,1,"1larv",NA,NA,NA,NA,6.025,0.175,8.4,0.19,NA,"range","thread-like",NA,NA,NA,"Kabilov and Siddikov","1987","Orthoptera as intermediate hosts of helminths, In: Helminths of Insects",NA,"88"
"Abbreviata kazachstanica","Abbreviata","nematode",NA,2,"2larv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no size given, but stated they were identical with those in insects","Kabilov","1980","Parazitologiya","14","263-270"
"Abbreviata kazachstanica","Abbreviata","nematode","Ophisaurus apus",3,"adult",NA,NA,NA,NA,11.4,0.35,12.6,0.4,NA,"range","thread-like",NA,NA,"no sex given and noted that some are immature; may be underestimate of size","Kabilov","1980","Parazitologiya","14","263-270"
"Abbreviata turkomanica","Abbreviata","nematode",NA,0,"egg","eaten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbreviata turkomanica","Abbreviata","nematode",NA,0,"embryo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbreviata turkomanica","Abbreviata","nematode",NA,1,"1larv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbreviata turkomanica","Abbreviata","nematode",NA,2,"adult",NA,NA,NA,NA,9.3,NA,12.1,NA,NA,"range","thread-like",NA,"m","just CAB abstract","Andrushko and Markov","1956","Vestn.  Leningradsk.  Univ.,  Ser.  Biol.",NA,"61-71"
"Abbreviata turkomanica","Abbreviata","nematode",NA,2,"adult",NA,NA,NA,NA,22.24,NA,32,NA,NA,"range","thread-like",NA,"f","just CAB abstract","Andrushko and Markov","1956","Vestn.  Leningradsk.  Univ.,  Ser.  Biol.",NA,"61-71"
"Acanthobothrium brevissime","Acanthobothrium","cestode",NA,0,"egg","eaten",NA,NA,"presumably they are eaten by bivalve first host",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acanthobothrium brevissime","Acanthobothrium","cestode",NA,0,"embryo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acanthobothrium brevissime","Acanthobothrium","cestode","Ensis minor",1,"1larv",NA,NA,NA,NA,0.746,NA,NA,NA,14,"avg","cylinder",NA,NA,NA,"Holland and Wilson","2009","J. Parasitol.","95","1215-1217"
"Acanthobothrium brevissime","Acanthobothrium","cestode","Branchiostoma floridae",1,"1larv",NA,NA,NA,NA,0.564,NA,0.85,NA,58,"avg","cylinder",NA,NA,"unfixed; after EtOH fixation, avg size was 378 um","Holland et al.","2009","Acta Zool.","90","75-86"
"Acanthobothrium brevissime","Acanthobothrium","cestode",NA,2,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acanthobothrium olseni","Acanthobothrium","cestode",NA,0,"egg","eaten",NA,NA,NA,0.03,0.03,NA,NA,NA,"avg","sphere",NA,NA,NA,"Mudry and Dailey,","1971","Can. J. Zool.","49","1249-1253"
"Acanthobothrium olseni","Acanthobothrium","cestode",NA,0,"embryo",NA,NA,NA,NA,0.015,0.012,NA,NA,NA,"avg","sphere",NA,NA,NA,"Mudry and Dailey,","1971","Can. J. Zool.","49","1249-1253"
"Acanthobothrium olseni","Acanthobothrium","cestode",NA,1,"1larv",NA,9,23.5,NA,0.21,0.14,NA,NA,6,"avg","sphere",NA,NA,NA,"Mudry and Dailey,","1971","Can. J. Zool.","49","1249-1253"
"Acanthobothrium olseni","Acanthobothrium","cestode",NA,2,"2larv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acanthobothrium olseni","Acanthobothrium","cestode","Rhinobatos productus",3,"adult",NA,NA,NA,NA,4.38,0.183,4.38,0.24,NA,"point","ribbon",NA,NA,"width is from big post segments","Dailey and Mudry","1968","J. Parasitol.","54","1141-1143"
"Acanthocephalus anguillae","Acanthocephalus","acanthocephalan",NA,0,"egg","eaten",NA,NA,NA,0.1,0.012,NA,NA,NA,"point","ellipsoid",NA,NA,NA,"Lühe","1911","Die Süsswasserfauna Deutschlands: Acanthocephalen",NA,NA
"Acanthocephalus anguillae","Acanthocephalus","acanthocephalan",NA,0,"embryo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acanthocephalus anguillae","Acanthocephalus","acanthocephalan","Asellus aquaticus",1,"1larv",NA,43,19,NA,7.4,0.48,NA,NA,NA,"fig","cylinder",NA,NA,"taken from Fig. size is average of male and female cyst","Andryuk","1979","Zool. Zhurnal","58","168-174"
"Acanthocephalus anguillae","Acanthocephalus","acanthocephalan","Asellus aquaticus",1,"1larv",NA,NA,NA,NA,2.98,NA,3.1,NA,6,"range","cylinder",NA,"m",NA,"Dezfuli et al.","1994","Boll. Zool.","61","77-81"
"Acanthocephalus anguillae","Acanthocephalus","acanthocephalan","Asellus aquaticus",1,"1larv",NA,NA,NA,NA,4.08,NA,4.3,NA,11,"range","cylinder",NA,"f",NA,"Dezfuli et al.","1994","Boll. Zool.","61","77-81"
"Acanthocephalus anguillae","Acanthocephalus","acanthocephalan","Asellus aquaticus",1,"1larv",NA,NA,NA,NA,5.5,NA,NA,NA,NA,"point","cylinder",NA,NA,"probably females; just stated that 'big specimens were 5 to 6 mm long'","Nybelin","1923","Zool. Anz.","58","32-36"
"Acanthocephalus anguillae","Acanthocephalus","acanthocephalan","Asellus aquaticus",1,"1larv",NA,40,22,NA,4.0565,0.525,7.276,1.248,8,"range","cylinder",NA,NA,"max: female cyst, n for max is number of measured cystacanths from low int infections (<3)","Pilecka-Rapacz","1986","Acta Parasitol.","30","233-250"
"Acanthocephalus anguillae","Acanthocephalus","acanthocephalan",NA,2,"adult",NA,NA,NA,NA,6,0.95,7,1.1,NA,"range","cylinder",NA,"m",NA,"Lühe","1911","Die Süsswasserfauna Deutschlands: Acanthocephalen",NA,NA
"Acanthocephalus anguillae","Acanthocephalus","acanthocephalan",NA,2,"adult",NA,NA,NA,NA,16,NA,20,2,NA,"range","cylinder",NA,"f",NA,"Lühe","1911","Die Süsswasserfauna Deutschlands: Acanthocephalen",NA,NA
"Acanthocephalus anthuris","Acanthocephalus","acanthocephalan",NA,0,"egg","eaten",NA,NA,NA,0.095,NA,0.1,NA,NA,"range","ellipsoid",NA,NA,NA,"Lühe","1911","Die Süsswasserfauna Deutschlands: Acanthocephalen",NA,NA
"Acanthocephalus anthuris","Acanthocephalus","acanthocephalan",NA,0,"embryo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acanthocephalus anthuris","Acanthocephalus","acanthocephalan","Proasellus coxalis",1,"1larv",NA,NA,NA,NA,2.275,0.51,2.33,0.56,NA,"range","cylinder",NA,"m",NA,"Batchvarov","1974","C. R. Acad. Sci. Paris D","278","3339-3341"
"Acanthocephalus anthuris","Acanthocephalus","acanthocephalan","Proasellus coxalis",1,"1larv",NA,NA,NA,NA,2.56,0.5,2.8,0.54,NA,"range","cylinder",NA,"f",NA,"Batchvarov","1974","C. R. Acad. Sci. Paris D","278","3339-3341"
"Acanthocephalus anthuris","Acanthocephalus","acanthocephalan",NA,2,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"weights given!","Avery","1971","Freshw. Biol.","1","113-119"
"Acanthocephalus anthuris","Acanthocephalus","acanthocephalan",NA,2,"adult",NA,NA,NA,NA,4,0.5,4.5,NA,NA,"range","cylinder",NA,"m",NA,"Lühe","1911","Die Süsswasserfauna Deutschlands: Acanthocephalen",NA,NA
"Acanthocephalus anthuris","Acanthocephalus","acanthocephalan",NA,2,"adult",NA,NA,NA,NA,8,0.85,8.5,0.9,NA,"range","cylinder",NA,"f",NA,"Lühe","1911","Die Süsswasserfauna Deutschlands: Acanthocephalen",NA,NA
"Acanthocephalus clavula","Acanthocephalus","acanthocephalan",NA,0,"egg","eaten",NA,NA,NA,0.0995,0.015,0.102,0.018,6,"range","ellipsoid",NA,NA,NA,"Rojanapaibul","1977","PhD thesis, University of Liverpool",NA,NA
"Acanthocephalus clavula","Acanthocephalus","acanthocephalan",NA,0,"embryo",NA,NA,NA,NA,0.044,0.008,0.045,0.009,6,"range","ellipsoid",NA,NA,NA,"Rojanapaibul","1977","PhD thesis, University of Liverpool",NA,NA
"Acanthocephalus clavula","Acanthocephalus","acanthocephalan","Asellus meridianus",1,"1larv",NA,87,10.5,NA,8.9,0.635,9.3,0.85,NA,"range","cylinder",NA,NA,NA,"Rojanapaibul","1977","PhD thesis, University of Liverpool",NA,NA
"Acanthocephalus clavula","Acanthocephalus","acanthocephalan","Cottus gobio",2,"adult",NA,10.5,13,"first fert between 7 and 14 days",27,2.35,NA,NA,NA,"point","cylinder",NA,"m",NA,"Rojanapaibul","1977","PhD thesis, University of Liverpool",NA,NA
"Acanthocephalus clavula","Acanthocephalus","acanthocephalan","Cottus gobio",2,"adult",NA,48,13,NA,31,2.5,NA,NA,NA,"point","cylinder",NA,"f",NA,"Rojanapaibul","1977","PhD thesis, University of Liverpool",NA,NA
"Acanthocephalus dirus","Acanthocephalus","acanthocephalan",NA,0,"egg","eaten",NA,NA,NA,0.075,0.012,0.109,0.019,NA,"avg","ellipsoid",NA,NA,NA,"Amin","1984","Proc. Helminthol. Soc. Wash.","51","225-237"
"Acanthocephalus dirus","Acanthocephalus","acanthocephalan",NA,0,"egg","eaten",NA,NA,NA,0.1,0.018,NA,NA,NA,"fig","ellipsoid",NA,NA,NA,"Oetinger and Nickol","1982","J. Parasitol.","68","463-469"
"Acanthocephalus dirus","Acanthocephalus","acanthocephalan",NA,0,"embryo",NA,NA,NA,NA,0.055,0.015,NA,NA,NA,"fig","ellipsoid",NA,NA,NA,"Oetinger and Nickol","1982","J. Parasitol.","68","463-469"
"Acanthocephalus dirus","Acanthocephalus","acanthocephalan",NA,1,"1larv",NA,NA,NA,NA,4.004,0.655,NA,NA,NA,"fig","cylinder",NA,"m",NA,"Amin","1982","Proc. Helminthol. Soc. Wash.","49","235-245"
"Acanthocephalus dirus","Acanthocephalus","acanthocephalan",NA,1,"1larv",NA,NA,NA,NA,9.058,0.8,NA,NA,NA,"fig","cylinder",NA,"f",NA,"Amin","1982","Proc. Helminthol. Soc. Wash.","49","235-245"
"Acanthocephalus dirus","Acanthocephalus","acanthocephalan",NA,1,"1larv",NA,90,22.5,NA,3.09,0.66,NA,NA,NA,"fig","cylinder",NA,"m","could get approx growth from fig; volumes also estimated","Oetinger and Nickol","1982","J. Parasitol.","68","463-469"
"Acanthocephalus dirus","Acanthocephalus","acanthocephalan",NA,1,"1larv",NA,90,22.5,NA,7.4,0.68,NA,NA,NA,"fig","cylinder",NA,"f","could get approx growth from fig; volumes also estimated","Oetinger and Nickol","1982","J. Parasitol.","68","463-469"
"Acanthocephalus dirus","Acanthocephalus","acanthocephalan","Semotilus atromaculatus",2,"adult",NA,NA,NA,NA,2.97,0.465,3.4,0.64,50,"avg","cylinder",NA,"m",NA,"Amin","1975","J. Parasitol.","61","307-317"
"Acanthocephalus dirus","Acanthocephalus","acanthocephalan","Semotilus atromaculatus",2,"adult",NA,NA,NA,NA,8.682820513,0.687948718,13.08,1.2,39,"avg","cylinder",NA,"f",NA,"Amin","1975","J. Parasitol.","61","307-317"
"Acanthocephalus dirus","Acanthocephalus","acanthocephalan","Catostomus commersoni",2,"adult",NA,NA,NA,NA,2.965,0.44,4.24,0.64,50,"avg","cylinder",NA,"m",NA,"Amin","1975","J. Parasitol.","61","307-317"
"Acanthocephalus dirus","Acanthocephalus","acanthocephalan","Catostomus commersoni",2,"adult",NA,NA,NA,NA,7.805,0.575,10.48,0.88,50,"avg","cylinder",NA,"f",NA,"Amin","1975","J. Parasitol.","61","307-317"
"Acanthocephalus dirus","Acanthocephalus","acanthocephalan","Lepomis cyanellus",2,"adult",NA,NA,NA,NA,7.34173913,0.628695652,11.92,1.08,46,"avg","cylinder",NA,"f",NA,"Amin","1975","J. Parasitol.","61","307-317"
"Acanthocephalus dirus","Acanthocephalus","acanthocephalan",NA,2,"adult",NA,NA,NA,NA,3.41,0.58,6,1.5,NA,"avg","cylinder",NA,"m","taken from many fish","Amin","1984","Proc. Helminthol. Soc. Wash.","51","225-237"
"Acanthocephalus dirus","Acanthocephalus","acanthocephalan",NA,2,"adult",NA,NA,NA,NA,8.65,0.76,20,1.44,NA,"avg","cylinder",NA,"f","taken from many fish","Amin","1984","Proc. Helminthol. Soc. Wash.","51","225-237"
"Acanthocephalus galaxii","Acanthocephalus","acanthocephalan",NA,0,"egg","eaten",NA,NA,NA,0.04,0.011,0.046,0.013,NA,"range","ellipsoid",NA,NA,NA,"Hine","1977","J. Roy. Soc. N.Z.","7","51-57"
"Acanthocephalus galaxii","Acanthocephalus","acanthocephalan",NA,0,"embryo",NA,NA,NA,NA,0.027,0.007,NA,NA,NA,"fig","ellipsoid",NA,NA,NA,"Hine","1977","J. Roy. Soc. N.Z.","7","51-57"
"Acanthocephalus galaxii","Acanthocephalus","acanthocephalan","Paracalliope fluviatilis",1,"1larv",NA,NA,NA,NA,1.1,0.42,2.2,NA,NA,"fig","cylinder",NA,NA,"avg size from fig 12, width from fig 11, max given as point estimate","Hine","1977","J. Roy. Soc. N.Z.","7","51-57"
"Acanthocephalus galaxii","Acanthocephalus","acanthocephalan","Galaxias maculatus",2,"adult",NA,NA,NA,NA,3,0.6,9,NA,NA,"fig","cylinder",NA,"m","fig 4, max given as a point estimate in description","Hine","1977","J. Roy. Soc. N.Z.","7","51-57"
"Acanthocephalus galaxii","Acanthocephalus","acanthocephalan","Galaxias maculatus",2,"adult",NA,NA,NA,NA,NA,NA,14,NA,NA,"point","cylinder",NA,"f",NA,"Hine","1977","J. Roy. Soc. N.Z.","7","51-57"
"Acanthocephalus lucii","Acanthocephalus","acanthocephalan",NA,0,"egg","eaten",NA,NA,NA,0.1065,0.012,0.11,0.016,NA,"range","ellipsoid",NA,NA,NA,"Amin et al.","2008","J. Parasitol.","94","1299-1304"
"Acanthocephalus lucii","Acanthocephalus","acanthocephalan",NA,0,"egg","eaten",NA,NA,NA,0.11,0.008,NA,NA,NA,"point","ellipsoid",NA,NA,NA,"Lühe","1911","Die Süsswasserfauna Deutschlands: Acanthocephalen",NA,NA
"Acanthocephalus lucii","Acanthocephalus","acanthocephalan",NA,0,"egg","eaten",NA,NA,NA,0.116,NA,0.132,NA,NA,"range","ellipsoid",NA,NA,NA,"Serov","1984","Parazitologiya","18","280-285"
"Acanthocephalus lucii","Acanthocephalus","acanthocephalan",NA,0,"embryo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acanthocephalus lucii","Acanthocephalus","acanthocephalan","Asellus aquaticus",1,"1larv",NA,NA,NA,NA,4.5,NA,5,NA,NA,"range","cylinder",NA,"m",NA,"Andryuk","1979","Parazitologiya","13","530-539"
"Acanthocephalus lucii","Acanthocephalus","acanthocephalan","Asellus aquaticus",1,"1larv",NA,NA,NA,NA,7.5,NA,9,NA,NA,"range","cylinder",NA,"f",NA,"Andryuk","1979","Parazitologiya","13","530-539"
"Acanthocephalus lucii","Acanthocephalus","acanthocephalan","Asellus aquaticus",1,"1larv",NA,19,25,NA,NA,NA,NA,NA,NA,NA,"cylinder",NA,NA,NA,"Andryuk","1979","Parazitologiya","13","530-539"
"Acanthocephalus lucii","Acanthocephalus","acanthocephalan","Asellus aquaticus",1,"1larv",NA,32,22,NA,NA,NA,NA,NA,NA,NA,"cylinder",NA,NA,NA,"Andryuk","1979","Parazitologiya","13","530-539"
"Acanthocephalus lucii","Acanthocephalus","acanthocephalan","Asellus aquaticus",1,"1larv",NA,51,19,NA,NA,NA,NA,NA,NA,NA,"cylinder",NA,NA,NA,"Andryuk","1979","Parazitologiya","13","530-539"
"Acanthocephalus lucii","Acanthocephalus","acanthocephalan","Asellus aquaticus",1,"1larv",NA,60,18,NA,NA,NA,NA,NA,NA,NA,"cylinder",NA,NA,NA,"Andryuk","1979","Parazitologiya","13","530-539"
"Acanthocephalus lucii","Acanthocephalus","acanthocephalan","Asellus aquaticus",1,"1larv",NA,89,15,NA,NA,NA,NA,NA,NA,NA,"cylinder",NA,NA,NA,"Andryuk","1979","Parazitologiya","13","530-539"
"Acanthocephalus lucii","Acanthocephalus","acanthocephalan","Asellus aquaticus",1,"1larv",NA,NA,NA,NA,7.619183673,0.399897959,11.5,0.535,196,"avg","cylinder",NA,"f",NA,"Benesh et al.","2009","Parasitology","136","847-854"
"Acanthocephalus lucii","Acanthocephalus","acanthocephalan","Asellus aquaticus",1,"1larv",NA,NA,NA,NA,3.96010989,0.392417582,5.33,0.485,182,"avg","cylinder",NA,"m",NA,"Benesh et al.","2009","Parasitology","136","847-854"
"Acanthocephalus lucii","Acanthocephalus","acanthocephalan","Asellus aquaticus",1,"1larv",NA,171.82,9,"estimated from regression equation given",NA,NA,NA,NA,NA,NA,"cylinder",NA,NA,NA,"Brattey","1986","J. Parasitol.","72","633-645"
"Acanthocephalus lucii","Acanthocephalus","acanthocephalan","Asellus aquaticus",1,"1larv",NA,92.08,12,NA,NA,NA,NA,NA,NA,NA,"cylinder",NA,NA,NA,"Brattey","1986","J. Parasitol.","72","633-645"
"Acanthocephalus lucii","Acanthocephalus","acanthocephalan","Asellus aquaticus",1,"1larv",NA,44.21,19,NA,NA,NA,NA,NA,NA,NA,"cylinder",NA,NA,NA,"Brattey","1986","J. Parasitol.","72","633-645"
"Acanthocephalus lucii","Acanthocephalus","acanthocephalan","Asellus aquaticus",1,"1larv",NA,36.15,22,NA,NA,NA,NA,NA,NA,NA,"cylinder",NA,NA,NA,"Brattey","1986","J. Parasitol.","72","633-645"
"Acanthocephalus lucii","Acanthocephalus","acanthocephalan","Asellus aquaticus",1,"1larv",NA,50,22,NA,2.3635,0.475,5.554,NA,5,"range","cylinder",NA,NA,"n for max is number of measured cystacanths from low int infections (<3)","Pilecka-Rapacz","1986","Acta Parasitol.","26","233-250"
"Acanthocephalus lucii","Acanthocephalus","acanthocephalan","Perca fluviatilis",2,"adult",NA,NA,NA,NA,8.5,NA,10.3,NA,NA,"range","cylinder",NA,"m",NA,"Andryuk","1979","Parazitologiya","13","530-539"
"Acanthocephalus lucii","Acanthocephalus","acanthocephalan","Perca fluviatilis",2,"adult",NA,58.5,15.5,NA,16.45,NA,21.4,NA,NA,"range","cylinder",NA,"f",NA,"Andryuk","1979","Parazitologiya","13","530-539"
"Acanthocephalus lucii","Acanthocephalus","acanthocephalan","Perca fluviatilis",2,"adult",NA,NA,NA,NA,4.91,NA,6.9,NA,271,"avg","cylinder",NA,"m",NA,"Benesh, unpublished data","",NA,NA,NA
"Acanthocephalus lucii","Acanthocephalus","acanthocephalan","Perca fluviatilis",2,"adult",NA,NA,NA,NA,10.94,NA,22.3,NA,236,"avg","cylinder",NA,"f","mass given by Serov 1984. Parazitologica","Benesh, unpublished data","",NA,NA,NA
"Acanthocephalus lucii","Acanthocephalus","acanthocephalan",NA,2,"adult",NA,NA,NA,NA,6.25,1.2,8,1.4,NA,"range","cylinder",NA,"m",NA,"Lühe","1911","Die Süsswasserfauna Deutschlands: Acanthocephalen",NA,NA
"Acanthocephalus lucii","Acanthocephalus","acanthocephalan",NA,2,"adult",NA,NA,NA,NA,12.5,1.2,17,1.4,NA,"range","cylinder",NA,"f",NA,"Lühe","1911","Die Süsswasserfauna Deutschlands: Acanthocephalen",NA,NA
"Acanthocephalus ranae","Acanthocephalus","acanthocephalan",NA,0,"egg","eaten",NA,NA,NA,0.095,0.013,0.112,0.016,NA,"avg","ellipsoid",NA,NA,NA,"Heckmann et al.","2011","Sci. Parasitol.","12","23-32"
"Acanthocephalus ranae","Acanthocephalus","acanthocephalan",NA,0,"egg","eaten",NA,NA,NA,0.11,0.013,NA,NA,NA,"point","ellipsoid",NA,NA,NA,"Lühe","1911","Die Süsswasserfauna Deutschlands: Acanthocephalen",NA,NA
"Acanthocephalus ranae","Acanthocephalus","acanthocephalan",NA,0,"embryo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acanthocephalus ranae","Acanthocephalus","acanthocephalan",NA,1,"1larv",NA,48,22,"as cited by Oetinger and Nickol 1982",3.5365,0.62,8.628,NA,9,"range","cylinder",NA,NA,"size from Pilecka-Rapacz 1986","Kurbanov","1978","Izv. Akad. Nauk Azerb. SSR Biol. Nauki","1","114-119"
"Acanthocephalus ranae","Acanthocephalus","acanthocephalan",NA,2,"adult",NA,NA,NA,NA,8.85245614,0.985614035,20.21,2.46,57,"avg","cylinder",NA,"m","weighted avg across hosts","Heckmann et al.","2011","Sci. Parasitol.","12","23-32"
"Acanthocephalus ranae","Acanthocephalus","acanthocephalan",NA,2,"adult",NA,NA,NA,NA,16.04435897,1.183076923,33,2.86,39,"avg","cylinder",NA,"f","weighted avg across hosts","Heckmann et al.","2011","Sci. Parasitol.","12","23-32"
"Acanthocephalus ranae","Acanthocephalus","acanthocephalan",NA,2,"adult",NA,NA,NA,NA,8.5,1,12,NA,NA,"range","cylinder",NA,"m",NA,"Lühe","1911","Die Süsswasserfauna Deutschlands: Acanthocephalen",NA,NA
"Acanthocephalus ranae","Acanthocephalus","acanthocephalan",NA,2,"adult",NA,NA,NA,NA,40,NA,60,2,NA,"range","cylinder",NA,"f",NA,"Lühe","1911","Die Süsswasserfauna Deutschlands: Acanthocephalen",NA,NA
"Acanthocephalus ranae","Acanthocephalus","acanthocephalan","Rana ridibunda",2,"adult",NA,NA,NA,NA,13.17,1.06,NA,NA,236,"avg","cylinder",NA,NA,NA,"Saglam and Arikan","2006","Dis. Aquat. Org.","72","253-260"
"Acanthocephalus rhinensis","Acanthocephalus","acanthocephalan",NA,0,"egg","eaten",NA,NA,NA,0.09,0.017,0.095,0.018,NA,"avg","ellipsoid",NA,NA,NA,"Amin et al.","2008","J. Parasitol.","94","1299-1304"
"Acanthocephalus rhinensis","Acanthocephalus","acanthocephalan",NA,0,"embryo",NA,NA,NA,NA,0.047,0.009,NA,NA,NA,"fig","ellipsoid",NA,NA,NA,"Amin et al.","2008","J. Parasitol.","94","1299-1304"
"Acanthocephalus rhinensis","Acanthocephalus","acanthocephalan","Echinogammarus tibaldii",1,"1larv",NA,NA,NA,NA,2.4,0.6,NA,NA,15,"avg","cylinder",NA,"m",NA,"Dezfuli et al.","2012","Parasitol. Res.","110","2137-2143"
"Acanthocephalus rhinensis","Acanthocephalus","acanthocephalan","Echinogammarus tibaldii",1,"1larv",NA,NA,NA,NA,3.1,0.8,NA,NA,15,"avg","cylinder",NA,"f",NA,"Dezfuli et al.","2012","Parasitol. Res.","110","2137-2143"
"Acanthocephalus rhinensis","Acanthocephalus","acanthocephalan","Anguilla anguilla",2,"adult",NA,NA,NA,NA,7.68,1.04,8.55,1.07,4,"avg","cylinder",NA,"m",NA,"Amin et al.","2008","J. Parasitol.","94","1299-1304"
"Acanthocephalus rhinensis","Acanthocephalus","acanthocephalan","Anguilla anguilla",2,"adult",NA,NA,NA,NA,10.73,1.36,11.7,1.55,5,"avg","cylinder",NA,"f",NA,"Amin et al.","2008","J. Parasitol.","94","1299-1304"
"Acanthocephalus rhinensis","Acanthocephalus","acanthocephalan","Anguilla anguilla",2,"adult",NA,NA,NA,NA,5.4,0.7,NA,NA,15,"avg","cylinder",NA,"m",NA,"Dezfuli et al.","2012","Parasitol. Res.","110","2137-2143"
