"","nameparse","yearone","hosts"
"2","Abbreviata (Abbreviata)",1936,NA
"3","Abbreviata (Polydelphyoptera)",1934,NA
"4","Abbreviata achari",1976,3
"5","Abbreviata africana",1959,NA
"6","Abbreviata amaniensis",1948,1
"7","Abbreviata anomala",1966,4
"8","Abbreviata archari",2009,NA
"9","Abbreviata benoiti",1967,NA
"10","Abbreviata borneensis",1960,NA
"11","Abbreviata caucasica",1926,2
"12","Abbreviata costaricae",2003,NA
"13","Abbreviata damarensis",1986,1
"14","Abbreviata deschiensi",2003,NA
"15","Abbreviata hastaspicula",1967,10
"16","Abbreviata heterocephala",2005,NA
"17","Abbreviata kolayatensis",1976,3
"18","Abbreviata madagascariensis",1989,NA
"19","Abbreviata olgopapillata",2005,NA
"20","Abbreviata oligopapillata",2002,NA
"21","Abbreviata ologopapillata",2003,NA
"22","Abbreviata ortleppi",1971,1
"23","Abbreviata paradoxa",1949,2
"24","Abbreviata polydentata",1948,1
"25","Abbreviata sonsinoi",1955,NA
"26","Abbreviata sp.",1906,NA
"27","Abbreviata terrapenis",1920,5
"28","Abbreviata terripenis",1965,NA
"29","Abbreviata timidocapitis",1966,NA
"30","Abbreviata varani",1926,4
"31","Aberrapex manjajiae",2002,NA
"32","Aberrapex senticosus",1996,1
"33","Aberrapex weipaensis",2004,NA
"34","Abothrium crassum",1927,NA
"35","Abothrium crassus",1894,NA
"36","Abothrium gadi",1941,6
"37","Abothrium rugosum",1906,NA
"38","Abothrium sp.",1906,NA
"39","Absonifibula bychowskii",1970,NA
"40","Acanthatrium (Acanthatrium)",1975,NA
"41","Acanthatrium alicatai",1930,1
"42","Acanthatrium amphidymum",1956,1
"43","Acanthatrium anaplocamense",1957,NA
"44","Acanthatrium beuschleini",1957,2
"45","Acanthatrium eptesici",1931,9
"46","Acanthatrium fugleri",1975,NA
"47","Acanthatrium jonesi",1954,NA
"48","Acanthatrium lunatum",1956,2
"49","Acanthatrium macyi",1954,1
"50","Acanthatrium microcanthum",1936,1
"51","Acanthatrium nycteridis",1918,6
"52","Acanthatrium oligacanthum",1956,7
"53","Acanthatrium oregonense",1938,4
"54","Acanthatrium pipistrelli",1934,8
"55","Acanthatrium setoense",1972,2
"56","Acanthatrium sogandaresi",1953,1
"57","Acanthatrium sp.",1993,NA
"58","Acanthatrium taiwanense",1958,NA
"59","Acanthatrium umbraculati",1968,NA
"60","Acanthobothrium amazonensis",1976,2
"61","Acanthobothrium americanum",1967,1
"62","Acanthobothrium asnihae",2003,NA
"63","Acanthobothrium bajaensis",1971,1
"64","Acanthobothrium bobconnorum",1999,NA
"65","Acanthobothrium brachyacanthum",1948,2
"66","Acanthobothrium brevissime",1906,6
"67","Acanthobothrium bullardi",1993,1
"68","Acanthobothrium cairae",1981,NA
"69","Acanthobothrium cartagenensis",1976,1
"70","Acanthobothrium cleofanus",1994,1
"71","Acanthobothrium colombianum",1976,1
"72","Acanthobothrium coronatum",1916,10
"73","Acanthobothrium dasi",1993,1
"74","Acanthobothrium dollyae",1996,1
"75","Acanthobothrium electricolum",1976,1
"76","Acanthobothrium etini",2003,NA
"77","Acanthobothrium floridensis",1963,5
"78","Acanthobothrium fogeli",1963,1
"79","Acanthobothrium foulki",2002,1
"80","Acanthobothrium franus",1996,1
"81","Acanthobothrium gnomus",2002,NA
"82","Acanthobothrium goldsteini",1972,1
"83","Acanthobothrium gracile",1914,1
"84","Acanthobothrium himanturi",1975,1
"85","Acanthobothrium hispidum",1948,1
"86","Acanthobothrium hypermekkolpas",1999,NA
"87","Acanthobothrium inbiorium",1996,1
"88","Acanthobothrium jeanneae",1999,NA
"89","Acanthobothrium larsoni",2002,NA
"90","Acanthobothrium lentiginosum",1994,NA
"91","Acanthobothrium lepidum",2002,NA
"92","Acanthobothrium lineatum",1967,1
"93","Acanthobothrium lintoni",1976,1
"94","Acanthobothrium maculatum",1948,1
"95","Acanthobothrium margieae",2005,NA
"96","Acanthobothrium marplatensis",1994,1
"97","Acanthobothrium maryanskii",1996,1
"98","Acanthobothrium marymichaelorum",2002,NA
"99","Acanthobothrium masnihae",2003,NA
"100","Acanthobothrium matttaylori",1999,NA
"101","Acanthobothrium nanogravidum",2003,NA
"102","Acanthobothrium nicoyaense",1992,1
"103","Acanthobothrium oceanharvestae",1999,NA
"104","Acanthobothrium olseni",1994,2
"105","Acanthobothrium parviuncinatum",1950,2
"106","Acanthobothrium paulum",1903,3
"107","Acanthobothrium peruviense",2001,NA
"108","Acanthobothrium popi",1999,NA
"109","Acanthobothrium quinonesi",1976,2
"110","Acanthobothrium rajivi",1993,1
"111","Acanthobothrium ramiroi",2002,NA
"112","Acanthobothrium regoi",1978,3
"113","Acanthobothrium rodmani",1999,NA
"114","Acanthobothrium romanowi",1999,NA
"115","Acanthobothrium royi",1996,1
"116","Acanthobothrium saliki",2003,NA
"117","Acanthobothrium schalli",1994,NA
"118","Acanthobothrium soberoni",1993,1
"119","Acanthobothrium sp.",1895,NA
"120","Acanthobothrium tasajerasi",1975,2
"121","Acanthobothrium tetabuanense",2003,NA
"122","Acanthobothrium tortum",1969,1
"123","Acanthobothrium ulmeri",1994,NA
"124","Acanthobothrium urolophi",1970,2
"125","Acanthobothrium urotrygoni",1976,2
"126","Acanthobothrium virginae",1967,NA
"127","Acanthobothrium westi",1994,NA
"128","Acanthobothrium zanili",2003,NA
"129","Acanthobothrium zimmeri",1999,NA
"130","Acanthobothroides sp.",1996,NA
"131","Acanthobothroides thorsoni",1975,1
"132","Acanthocephaloides propinquus",1866,32
"133","Acanthocephaloides sp.",1947,NA
"134","Acanthocephalus acerbus",1926,5
"135","Acanthocephalus aculeatus",1926,11
"136","Acanthocephalus alabamensis",1971,1
"137","Acanthocephalus anguillae",1903,69
"138","Acanthocephalus artatus",1920,NA
"139","Acanthocephalus bufonis",1954,17
"140","Acanthocephalus caspanensis",1986,1
"141","Acanthocephalus dirus",1927,67
"142","Acanthocephalus gotoi",1921,1
"143","Acanthocephalus gracile",1914,NA
"144","Acanthocephalus jacksoni",1889,23
"145","Acanthocephalus lucidus",1920,9
"146","Acanthocephalus lucii",1866,68
"147","Acanthocephalus lutzi",1940,NA
"148","Acanthocephalus nanus",1920,NA
"149","Acanthocephalus parksidei",1973,NA
"150","Acanthocephalus ranae",1893,21
"151","Acanthocephalus rhinensis",2003,NA
"152","Acanthocephalus saurius",1964,1
"153","Acanthocephalus serendibensis",2006,NA
"154","Acanthocephalus sinensis",2004,NA
"155","Acanthocephalus sp.",1886,NA
"156","Acanthocephalus tahlequahensis",1975,5
"157","Acanthocephalus vancleavei",1942,NA
"158","Acanthocercodes bullardi",2011,NA
"159","Acanthocercodes polynemus",2012,NA
"160","Acanthochasmus coronarius",1925,NA
"161","Acanthochasmus sp.",1921,NA
"162","Acanthocheilonema dracunculoides",1969,2
"163","Acanthocheilonema gracile",1918,NA
"164","Acanthocheilonema gracilis",1920,NA
"165","Acanthocheilonema perstans",1906,NA
"166","Acanthocheilonema sabanicolae",1984,NA
"167","Acanthocheilonema sp.",1991,NA
"168","Acanthocheilonema spirocauda",2002,4
"169","Acanthocheilus nidifex",1898,NA
"170","Acanthocirrus retirostris",2001,3
"171","Acanthocolpoides israelensis",1977,NA
"172","Acanthocolpus tenuis",1951,NA
"173","Acanthocotyle gurgesiella",2016,NA
"174","Acanthocotyle pacifica",1934,1
"175","Acanthocotyle sp.",1916,NA
"176","Acanthocotyle verrilli",1924,NA
"177","Acanthogyrus (Acanthosentis)",1996,NA
"178","Acanthoparyphium charadrii",1993,1
"179","Acanthoparyphium melanittae",1974,NA
"180","Acanthoparyphium ochthodromi",1960,1
"181","Acanthoparyphium pagollae",1952,NA
"182","Acanthoparyphium paracharadrii",1962,NA
"183","Acanthoparyphium sp.1",2003,NA
"184","Acanthoparyphium spinulosum",1961,11
"185","Acanthoparyphium tyosenense",1998,7
"186","Acanthopharyngoides scleratum",1934,NA
"187","Acanthopsolus lageniformis",1910,NA
"188","Acanthosentis acanthuri",1941,4
"189","Acanthosentis tilapiae",1975,36
"190","Acanthosiphodera bengalense",1972,NA
"191","Acanthostomum absconditum",1952,2
"192","Acanthostomum americanum",1897,2
"193","Acanthostomum coronarium",1930,1
"194","Acanthostomum imbutiformis",1960,25
"195","Acanthostomum loossi",1994,2
"196","Acanthostomum megacetabulum",1958,1
"197","Acanthostomum niloticus",1960,NA
"198","Acanthostomum pavidum",1976,1
"199","Acanthostomum spiniceps",1952,6
"200","Acanthotaenia biroi",2003,NA
"201","Acanthotaenia daileyi",1962,NA
"202","Acanthotaenia gracilis",1967,NA
"203","Acanthotaenia overstreeti",1929,NA
"204","Acanthotaenia shipleyi",1970,2
"205","Acanthotaenia sp.",1958,NA
"206","Acanthotrema felis",1999,1
"207","Acanthoxyurus anomaluri",1926,NA
"208","Acanthuritrema magnireceptaculum",1966,NA
"209","Acanthuritrema multivitellosum",1966,NA
"210","Accacladium nematulum",1935,1
"211","Accacladium serpentulus",1914,NA
"212","Accacladocoelium macrocotyle",1914,3
"213","Accacoelium contortum",1914,2
"214","Accessorius peruensis",1987,1
"215","Acetodextra ameiuri",1893,NA
"216","Acipensericola glacialis",2008,NA
"217","Acipensericola petersoni",2004,NA
"218","Ackertia marmotae",1964,2
"219","Acoleus vaginatus",1928,5
"220","Acolpenteron catostomi",1940,8
"221","Acolpenteron ureterocetes",1997,NA
"222","Acolpenteron ureteroecetes",1939,6
"223","Acolpenteron willifordensis",2011,NA
"224","Acrodactyla petalosa",1915,NA
"225","Acrolichanus peltalosum",1920,NA
"226","Actinocephalus carrilynni",1988,NA
"227","Actinocleidus articularis",1982,NA
"228","Actinocleidus bennetti",1960,1
"229","Actinocleidus bifida",1982,NA
"230","Actinocleidus brevicirrus",1938,1
"231","Actinocleidus fergusoni",1937,4
"232","Actinocleidus flagellatus",1939,1
"233","Actinocleidus fusiformis",1974,2
"234","Actinocleidus georgiensis",1960,1
"235","Actinocleidus gracilis",1992,3
"236","Actinocleidus ileechobeensis",1939,NA
"237","Actinocleidus longus",1937,NA
"238","Actinocleidus mizellei",1970,NA
"239","Actinocleidus oculatus",2006,1
"240","Actinocleidus reversus",1963,NA
"241","Actinocleidus sp.",1934,NA
"242","Actinocleidus subtriangularis",1938,NA
"243","Actinocleidus triangularis",1982,NA
"244","Actinolaimus chitwoodi",1935,NA
"245","Acuaria (Dispharynx)",1914,NA
"246","Acuaria anthuris",1893,33
"247","Acuaria coloradensis",1986,1
"248","Acuaria cordata",1927,11
"249","Acuaria decora",1923,NA
"250","Acuaria gracilis",1953,2
"251","Acuaria hamulosa",1960,14
"252","Acuaria kilborni",1911,NA
"253","Acuaria laticeps",1939,NA
"254","Acuaria mayori",2001,3
"255","Acuaria minor",1940,NA
"256","Acuaria multispinosa",1990,5
"257","Acuaria nebraskensis",1929,NA
"258","Acuaria ornata",1925,3
"259","Acuaria paraguayensis",1991,NA
"260","Acuaria sp.",1907,NA
"261","Acuaria spinosa",1931,8
"262","Acuaria strongylina",1908,NA
"263","Acuaria tenuis",1938,3
"264","Acuaria testudinis",1924,NA
"265","Acuaria wangi",2001,2
"266","Adenobrechmos greeri",2002,NA
"267","Adenocephalus pacificus",2011,NA
"268","Adenodidymocystis intestinalis",1965,1
"269","Adenogaster serialis",1990,8
"270","Adinosoma robustus",1954,NA
"271","Adleriella minutissima",1927,1
"272","Adolescaria asymmetrica",1928,NA
"273","Adolescaria aurora",1928,NA
"274","Adolescaria sp.",1929,NA
"275","Aelurostrongylus abstrusus",1930,8
"276","Aelurostrongylus falaformis",1961,NA
"277","Aelurostrongylus pridhami",1979,6
"278","Aelurostrongylus pulmonalis",1958,NA
"279","Aephnidiogenes africanus",1955,2
"280","Aephnidiogenes barbarus",1962,5
"281","Aephnidiogenes senegalensis",1969,7
"282","Aetheolabes goelidiensis",2006,NA
"283","Africana acuticeps",1951,1
"284","Africana chabaudi",1995,NA
"285","Africana telfordi",1963,1
"286","Africanastrongylus buceros",1967,NA
"287","Africanastrongylus giganticus",1966,NA
"288","Afrobaeria acanthocirrosa",1974,NA
"289","Afrobaeria isomydis",1974,NA
"290","Agamascaris odontocephala",1889,2
"291","Agamascaris sp.",1883,NA
"292","Agamermis decaudata",1958,NA
"293","Agamermis sp.",1935,NA
"294","Agamodistomum nanus",1905,NA
"295","Agamodistomum norvegicum",1933,NA
"296","Agamodistomum sp.",1909,NA
"297","Agamofilaria sp.",1930,NA
"298","Agamomermis culicis",1903,NA
"299","Agamomermis sp.",1914,NA
"300","Agamonema commune",1912,1
"301","Agamonema immanis",1933,NA
"302","Agamonema scorpaenae",1917,NA
"303","Agamonema sp.",1906,NA
"304","Agamonema vomitor",1934,NA
"305","Agamonematodum carlyniensis",1932,NA
"306","Agamonematodum sp.",1932,NA
"307","Agamospirura liberiae",1926,NA
"308","Agfa tauricus",2005,3
"309","Aglaiogyrodactylus calamus",2004,NA
"310","Aglaiogyrodactylus conei",2004,NA
"311","Aglaiogyrodactylus ctenistus",2004,NA
"312","Aglaiogyrodactylus forficulatus",1996,NA
"313","Aglaiogyrodactylus forficuloides",2003,NA
"314","Aglaiogyrodactylus guttus",1999,NA
"315","Aglaiogyrodactylus pedunculatus",2000,NA
"316","Aglaiogyrodactylus salebrosus",2004,NA
"317","Agriostomum equidentatum",1929,NA
"318","Agriostomum gorgonis",1929,6
"319","Ahamulina catarina",2009,NA
"320","Ailfilaria pseudolabiata",1977,NA
"321","Alaeuris clementensis",1970,2
"322","Alaeuris hirsutus",1927,NA
"323","Alaeuris rinconensis",2001,NA
"324","Alaeuris riversianae",1970,2
"325","Alaeuris sp.",1966,NA
"326","Alaeuris vogelsangi",1995,1
"327","Alaeuris yumanae",1971,3
"328","Alaria (Alaria)",1932,NA
"329","Alaria (Paralaria)",1917,NA
"330","Alaria alata",1922,69
"331","Alaria americana",1917,20
"332","Alaria arisaemoides",1927,13
"333","Alaria canis",1932,1
"334","Alaria dubia",1945,NA
"335","Alaria marcianae",1964,29
"336","Alaria marcinae",1998,NA
"337","Alaria michiganensis",1918,NA
"338","Alaria minnesotae",1951,1
"339","Alaria mustelae",1929,28
"340","Alaria nasuae",1922,3
"341","Alaria oregonensis",1925,1
"342","Alaria sp.",1893,NA
"343","Alaria taxideae",1951,3
"344","Alassostoma magnum",1939,NA
"345","Alassostoma parvum",1915,NA
"346","Albulatrema ovale",1963,1
"347","Alcataenia acampylacantha",1982,NA
"348","Alcataenia armillaris",1976,6
"349","Alcataenia campylacantha",1982,3
"350","Alcataenia cerorhincae",1981,NA
"351","Alcataenia fraterculae",1975,NA
"352","Alcataenia larina",1975,1
"353","Alcataenia longicervica",1975,NA
"354","Alcataenia meinertzhageni",1981,NA
"355","Alcataenia pygmaeus",1974,NA
"356","Alcataenia sp.",1977,NA
"357","Alcicornis baylisi",1936,1
"358","Alcicornis carangis",1916,5
"359","Alcicornis longicornutus",1951,NA
"360","Alcicornis multidactylus",1971,NA
"361","Alcicornis siddiqii",1951,NA
"362","Alexandercestus gibsoni",1970,NA
"363","Alexandercestus manteri",1988,NA
"364","Aliatrema cribbi",1999,NA
"365","Allacanthochasmus artus",1935,1
"366","Allacanthochasmus sp.",1893,NA
"367","Allacanthochasmus varius",1913,4
"368","Allassogonoporus marginalis",1936,11
"369","Allassogonoporus sp.",1997,NA
"370","Allassogonoporus vespertilionis",1938,4
"371","Allassostoma magnum",1940,7
"372","Allassostomoides chelydrae",1995,7
"373","Allassostomoides louisianiensis",1972,NA
"374","Allassostomoides parvum",1933,NA
"375","Allencotyla mcintoshi",1929,1
"376","Allencotyla pricei",1967,7
"377","Allencotyla sp.",2002,NA
"378","Allintoshius baudi",1975,NA
"379","Allintoshius nycticeius",1936,1
"380","Allintoshius sp.",1980,1
"381","Allintoshius travassosi",1980,2
"382","Allobacciger macrorchis",1993,1
"383","Allobenedenia epinepheli",1962,NA
"384","Allobenedenia yamagutii",1965,NA
"385","Allobenedenia zhangi",2003,NA
"386","Allobilharzia visceralis",2005,NA
"387","Allocorrigia filiformis",1975,NA
"388","Allocotylophora polyprionum",1960,1
"389","Allocreadium (Neoallocreadium)",1971,NA
"390","Allocreadium arcuatum",1920,NA
"391","Allocreadium bolesomi",1920,NA
"392","Allocreadium chuscoi",1918,NA
"393","Allocreadium ghanensis",1963,NA
"394","Allocreadium halli",1932,NA
"395","Allocreadium ictaluri",1920,NA
"396","Allocreadium integrum",1971,NA
"397","Allocreadium isoporum",1892,59
"398","Allocreadium labracis",1900,NA
"399","Allocreadium leidyi",1930,NA
"400","Allocreadium lintoni",1930,NA
"401","Allocreadium lobatum",1907,25
"402","Allocreadium mexicanum",1990,5
"403","Allocreadium neotenicum",1954,2
"404","Allocreadium priacanthus",1918,NA
"405","Allocreadium pseudotritoni",1936,3
"406","Allocreadium psuedotritoni",2007,NA
"407","Allocreadium sp.",1919,NA
"408","Allocreadium stilesi",1930,NA
"409","Allocreadium vitellosum",1916,NA
"410","Allocreadium wallini",1918,NA
"411","Allocreadium wardi",1930,NA
"412","Allodapa (Allodapa)",1954,NA
"413","Allodapa sp.",1912,NA
"414","Allodapa suctoria",1959,1
"415","Allodapa turnicis",1962,NA
"416","Allodidymocodium unitubulare",1965,2
"417","Allodiscocotyla chorinemi",1978,6
"418","Allodiscocotyla lae",1963,NA
"419","Allogastrocotyle bivaginalis",1979,1
"420","Alloglossidium cardicolum",2009,NA
"421","Alloglossidium caridicolum",1975,1
"422","Alloglossidium corti",1970,1
"423","Alloglossidium demshini",2012,NA
"424","Alloglossidium dolandi",1998,1
"425","Alloglossidium floridense",2012,NA
"426","Alloglossidium fonti",2003,NA
"427","Alloglossidium geminum",1930,7
"428","Alloglossidium greeri",1992,1
"429","Alloglossidium hamrumi",1974,2
"430","Alloglossidium hirudicola",1967,5
"431","Alloglossidium kenti",1927,1
"432","Alloglossidium kritskyi",1992,NA
"433","Alloglossidium macrobdellensis",1971,2
"434","Alloglossidium microspinatum",1975,NA
"435","Alloglossidium renale",1973,2
"436","Alloglossidium richardsoni",1974,3
"437","Alloglossidium sp.",1910,NA
"438","Alloglossidium turnbulli",1974,2
"439","Alloglossoides caridicola",1984,1
"440","Alloglyptus crenshawi",1949,3
"441","Alloheterophyes chini",1976,6
"442","Alloheterophyes superspinata",1976,5
"443","Allohymenolepis palawanensis",1960,NA
"444","Alloionema appendiculatum",1933,1
"445","Allolepidapedon fistulariae",1985,1
"446","Allolepidapedon petimba",1963,1
"447","Allomegasolena attenuata",1951,NA
"448","Allomegasolena spinosa",1951,NA
"449","Allomermis trichotopson",1922,NA
"450","Allometanematobothrioides lepidocybii",1963,2
"451","Allomicrocotyla onaga",1963,NA
"452","Allonematobothrioides scombri",1964,1
"453","Allonematobothrium apharei",1964,1
"454","Allonematobothrium epinepheli",1963,3
"455","Allonematobothrium ghanensis",1964,1
"456","Allopharynx daileyi",1988,NA
"457","Allopharynx macallisteri",2003,1
"458","Allopharynx mcallisteri",1990,NA
"459","Allopharynx multispinosa",1983,NA
"460","Allopharynx puertoricensis",1971,NA
"461","Allopharynx tropidonoti",1916,NA
"462","Alloplagiorchis garricki",1927,NA
"463","Alloplagiorchis sp.",1910,NA
"464","Allopodocotyle argyropsi",1968,NA
"465","Allopodocotyle boleosomi",1980,1
"466","Allopodocotyle chiliticorum",1998,4
"467","Allopodocotyle pritchardae",1968,NA
"468","Allopseudaxine vagans",1935,1
"469","Allopseudaxine yaito",1963,1
"470","Allopseudaxinoides euthynni",1963,1
"471","Allopseudocolocyntotrema claviforme",1965,1
"472","Allopseudodiclidophora opelu",1963,1
"473","Allopseudopisthogyne constricta",1963,NA
"474","Allopyragraphorus hippos",1992,2
"475","Allopyragraphorus incomparabilis",1992,5
"476","Allopyragraphorus winteri",1997,2
"477","Allosprostonia tauvinae",1962,1
"478","Allotetraonchoides rhigophilae",1961,NA
"479","Amblosoma exile",1970,2
"480","Amblosoma pojmanskae",1971,NA
"481","Amblosoma reelfooti",1974,1
"482","Amblosoma suwaense",1978,NA
"483","Amblyonema terdentatum",1900,NA
"484","Ameloblastella chavarriai",1972,5
"485","Ameloblastella edentensis",2011,NA
"486","Ameloblastella formatrium",2008,NA
"487","Ameloblastella paranaensis",2009,1
"488","Ameloblastella satoi",2009,NA
"489","Ameloblastella sp.",2009,NA
"490","Ameloblastella unapi",2005,NA
"491","Ameloblastella unapioides",2004,NA
"492","Ametrodaptes mexicanus",1951,NA
"493","Amidostomum acutum",1961,28
"494","Amidostomum anseris",1925,44
"495","Amidostomum chevreuxi",1925,1
"496","Amidostomum cygni",1924,6
"497","Amidostomum cyngi",1981,NA
"498","Amidostomum fulicae",1963,15
"499","Amidostomum quasifulicae",1971,2
"500","Amidostomum skrjabini",1955,1
"501","Amidostomum sp.",1917,NA
"502","Amidostomum spatulatum",1933,10
"503","Amidostomum stellae",1915,NA
"504","Amiotrema munsoni",1966,NA
"505","Amoebotaenia brevicollis",1948,NA
"506","Amoebotaenia cuneata",1896,11
"507","Amoebotaenia sphenoides",1907,10
"508","Amphibdella flavolineatus",1911,NA
"509","Amphibdella torpedinis",1977,2
"510","Amphibdelloides maccallumi",1914,2
"511","Amphibdelloides narcine",1954,NA
"512","Amphibdelloides sp.",1978,NA
"513","Amphibiocapillaria bufonis",1994,2
"514","Amphibiocapillaria freitasilenti",1994,NA
"515","Amphibiocapillaria serpentina",1995,5
"516","Amphibiocapillaria texensis",1999,1
"517","Amphibiocapillaria tritoniscistati",2013,NA
"518","Amphibiocapillaria tritonispunctai",2014,NA
"519","Amphibiocapillaria tritonispunctataii",1995,NA
"520","Amphibiocapillaria tritonispunctati",1966,24
"521","Amphibiocapillaria tritonispunctatii",1995,NA
"522","Amphibiophilus acanthocirratus",1957,1
"523","Amphibiophilus natalensis",2012,NA
"524","Amphicaecum parvum",1933,1
"525","Amphilina bipunctata",1923,1
"526","Amphilina foliacea",1992,22
"527","Amphimerus anatis",1959,27
"528","Amphimerus arcticus",1994,4
"529","Amphimerus costarricensis",2004,1
"530","Amphimerus elongatus",1937,10
"531","Amphimerus guayaquilensis",1990,6
"532","Amphimerus lancea",1950,5
"533","Amphimerus pseudofelineus",1931,3
"534","Amphimerus sp.",2010,NA
"535","Amphimerus speciosus",1924,4
"536","Amphimerus vallecaucensis",1968,1
"537","Amphiorchis amphiorchis",1932,3
"538","Amphiorchis caborojoensis",1969,2
"539","Amphiorchis sp.",2006,NA
"540","Amphipolycotyle chloroscombrus",1984,2
"541","Amphistomum chelydrae",1915,NA
"542","Amphithecium brachycirrum",1983,2
"543","Amphithecium calycinum",1983,2
"544","Amphithecium camelum",1983,2
"545","Amphithecium catalaoensis",1984,2
"546","Amphithecium diclonophallum",1985,6
"547","Amphithecium falcatum",1983,10
"548","Amphithecium junki",1983,3
"549","Amphithecium microphallum",1991,3
"550","Amphithecium minutum",1984,5
"551","Amphithecium muricatum",1985,4
"552","Amphithecium pretiosum",1985,3
"553","Amphithecium prodotum",1985,4
"554","Amphithecium speirocamarotum",1989,1
"555","Amphithecium unguiculum",1984,1
"556","Amphithecium verecundum",1985,3
"557","Amplicaecum cacopi",1958,1
"558","Amplicaecum involutum",1939,NA
"559","Amplicaecum novempapillatum",1932,NA
"560","Amplicaecum ranae",1958,2
"561","Amplicaecum sp.",1919,NA
"562","Anacanthocotyle anacanthocotyle",1968,1
"563","Anacanthorus acuminatus",1989,3
"564","Anacanthorus alatus",1989,2
"565","Anacanthorus amazonicus",1985,4
"566","Anacanthorus anacanthorus",1964,2
"567","Anacanthorus andersoni",1988,1
"568","Anacanthorus beleophallus",1988,2
"569","Anacanthorus bellus",1984,2
"570","Anacanthorus brazilensis",1964,NA
"571","Anacanthorus brevicirrus",2009,1
"572","Anacanthorus calophallus",1979,1
"573","Anacanthorus carinatus",1988,1
"574","Anacanthorus catoprioni",1985,2
"575","Anacanthorus chaunophallus",1989,1
"576","Anacanthorus chelophorus",1983,1
"577","Anacanthorus cinctus",1985,1
"578","Anacanthorus cladophallus",1984,1
"579","Anacanthorus colombianus",1971,3
"580","Anacanthorus cornutus",1988,1
"581","Anacanthorus crytocaulus",1985,2
"582","Anacanthorus cuticulovaginus",1971,1
"583","Anacanthorus dipelecinus",1984,NA
"584","Anacanthorus euryphallus",1988,3
"585","Anacanthorus formosus",1984,1
"586","Anacanthorus franciscanus",2009,NA
"587","Anacanthorus furculus",1979,1
"588","Anacanthorus glyptophallus",1988,1
"589","Anacanthorus gravihamulatus",1985,4
"590","Anacanthorus hoplophallus",1985,1
"591","Anacanthorus jegui",1984,6
"592","Anacanthorus lasiophallus",1985,2
"593","Anacanthorus lepyrophallus",1984,2
"594","Anacanthorus lygophallus",1989,1
"595","Anacanthorus maltai",1983,2
"596","Anacanthorus mastigophallus",1985,2
"597","Anacanthorus mesocondylus",1984,7
"598","Anacanthorus nanus",1988,1
"599","Anacanthorus neotropicalis",1964,2
"600","Anacanthorus palamophallus",1985,2
"601","Anacanthorus paraspathulatus",1989,1
"602","Anacanthorus pedanophallus",1985,1
"603","Anacanthorus pelorophallus",1979,1
"604","Anacanthorus penilabiatus",1992,4
"605","Anacanthorus periphallus",1984,1
"606","Anacanthorus piranhus",1984,NA
"607","Anacanthorus pithophallus",1988,1
"608","Anacanthorus prodigiosus",1984,3
"609","Anacanthorus quinqueramis",1984,NA
"610","Anacanthorus ramosissimus",1984,1
"611","Anacanthorus ramulosus",1989,2
"612","Anacanthorus reginae",1983,2
"613","Anacanthorus rondonensis",1983,2
"614","Anacanthorus scapanus",1984,1
"615","Anacanthorus sciponophallus",1984,4
"616","Anacanthorus serrasalmi",1984,4
"617","Anacanthorus spathulatus",1978,1
"618","Anacanthorus spinatus",1985,1
"619","Anacanthorus stachophallus",1984,2
"620","Anacanthorus strongylophallus",1979,1
"621","Anacanthorus thatcheri",1983,2
"622","Anacanthorus tricornis",1979,2
"623","Anacanthorus xaniophallus",1982,3
"624","Anafilaroides pararostratus",1976,1
"625","Anafilaroides rostratus",2012,4
"626","Anahemiurus microcercus",1975,NA
"627","Anallocreadium armatum",1893,NA
"628","Anallocreadium sp.",1893,NA
"629","Anamonorchis ulua",1964,NA
"630","Anantrum histocephalum",1976,NA
"631","Anantrum tortum",1977,1
"632","Anapalaeorchis hamajimai",1985,1
"633","Anatrichosoma buccalis",1969,2
"634","Anatrichosoma cutaneum",1921,2
"635","Anatrichosoma cyanomolgi",1979,NA
"636","Anatrichosoma cynamolgi",1954,NA
"637","Anatrichosoma haycocki",1980,4
"638","Anatrichosoma nacepobi",1967,NA
"639","Anatrichosoma sp.",1968,NA
"640","Anauracanthorhynchus lutzi",1963,NA
"641","Anchistrocephalus aluterae",1920,1
"642","Anchistrocephalus sp.",1904,NA
"643","Anchitrema sanguineum",1902,10
"644","Anchoradiscus anchoradiscus",1938,1
"645","Anchoradiscus triangularis",1967,1
"646","Ancipirhynchus afossalis",2006,NA
"647","Ancistrocephalus aluterae",1926,NA
"648","Ancistrocephalus microcephalus",1923,NA
"649","Ancistrohaptor falcatum",1979,1
"650","Ancistrohaptor falciferum",1979,3
"651","Ancistrohaptor falcunculum",1980,3
"652","Ancistronema coronatum",1992,2
"653","Ancyclocoelum israelense",1977,NA
"654","Ancylodiscoides siluri",1958,3
"655","Ancylodiscoides vistulensis",1964,2
"656","Ancylostoma braziliense",1922,NA
"657","Ancylostoma caninum",1887,46
"658","Ancylostoma cernuus",1907,NA
"659","Ancylostoma ceylanicum",1924,10
"660","Ancylostoma conepati",1962,NA
"661","Ancylostoma duodenale",1886,18
"662","Ancylostoma hescheleri",1948,NA
"663","Ancylostoma malayanum",1938,NA
"664","Ancylostoma martinagliai",1950,2
"665","Ancylostoma mephitis",1962,1
"666","Ancylostoma perniciosa",1907,NA
"667","Ancylostoma pluridentatum",1905,2
"668","Ancylostoma sp.",1891,NA
