"","hosts","hostclean","group"
"106","Tinca tinca","Tinca tinca","Teleostei"
"107","Vimba vimba","Vimba vimba","Teleostei"
"108","Zingel streber","Zingel streber","Teleostei"
"109","Zingel zingel","Zingel zingel","Teleostei"
"110","Asellus meridianus","Asellus meridionalis","Malacostraca"
"111","Coregonus lavaretus","Coregonus lavaretus","Teleostei"
"112","Cottus gobio","Cottus gobio","Teleostei"
"113","Echinogammarus pungens","Echinogammarus pungens",NA
"114","Echinogammarus stammeri","Echinogammarus stammeri",NA
"115","Gadus morhua","Gadus morhua","Teleostei"
"116","Alosa pseudoharengus","Alosa pseudoharengus","Teleostei"
"117","Ambloplites rupestris","Ambloplites rupestris","Teleostei"
"118","Amia calva","Amia calva","Holostei"
"119","Anguilla rostrata","Anguilla rostrata","Teleostei"
"120","Aplodinotus grunniens","Aplodinotus grunniens","Teleostei"
"121","Aplodinotus simer","Teleostei","Teleostei"
"122","Asellus intermedius","Caecidotea intermedia","Malacostraca"
"123","Campostoma anomalum","Campostoma anomalum","Teleostei"
"124","Carpiodes velifer","Carpiodes velifer","Teleostei"
"125","Catostomus commersoni","Catostomus commersonii","Teleostei"
"126","Cichlasoma urophthalmus","Cichlasoma urophthalma","Teleostei"
"127","Coregonus clupeaformis","Coregonus clupeaformis","Teleostei"
"128","Cottus bairdi","Cottus bairdii","Teleostei"
"129","Cottus cognatus","Cottus cognatus","Teleostei"
"130","Cristivomer namaycush","Cristivomer namaycush",NA
"131","Ericymba buccata","Notropis buccatus","Teleostei"
"132","Erimyzon sucetta","Erimyzon sucetta","Teleostei"
"133","Esox americanus","Esox americanus","Teleostei"
"134","Etheostoma squamiceps","Etheostoma squamiceps","Teleostei"
"135","Fundulus notatus","Fundulus notatus","Teleostei"
"136","Ictalurus melas","Ameiurus melas","Teleostei"
"137","Ictalurus natalis","Ameiurus natalis","Teleostei"
"138","Ictalurus punctatus","Ictalurus punctatus","Teleostei"
"139","Lepomis cyanellus","Lepomis cyanellus","Teleostei"
"140","Lepomis gibbosus","Lepomis gibbosus","Teleostei"
"141","Lepomis macrochirus","Lepomis macrochirus","Teleostei"
"142","Lepomis megalotis","Lepomis megalotis","Teleostei"
"143","Lirceus lineatus","Lirceus lineatus","Malacostraca"
"144","Microgadus tomcod","Microgadus tomcod","Teleostei"
"145","Micropterus salmoides","Micropterus salmoides","Teleostei"
"146","Moxostoma erythrurum","Moxostoma erythrurum","Teleostei"
"147","Necturus maculosus","Necturus maculosus","Amphibia"
"148","Notemigonus crysoleucas","Notemigonus crysoleucas","Teleostei"
"149","Notropis atherinoides","Notropis atherinoides","Teleostei"
"150","Notropis cornutus","Luxilus cornutus","Teleostei"
"151","Notropis umbratilis","Lythrurus umbratilis","Teleostei"
"152","Oncorhynchus kisutch","Oncorhynchus kisutch","Teleostei"
"153","Oncorhynchus tshawytscha","Oncorhynchus tshawytscha","Teleostei"
"154","Osmerus mordax","Osmerus mordax","Teleostei"
"155","Perca flavescens","Perca flavescens","Teleostei"
"156","Phenacobius mirabilis","Phenacobius mirabilis","Teleostei"
"157","Pimephales notatus","Pimephales notatus","Teleostei"
"158","Pimephalus promelas","Pimephalus promelas",NA
"159","Pomoxis annularis","Pomoxis annularis","Teleostei"
"160","Pomoxis nigromaculatus","Pomoxis nigromaculatus","Teleostei"
"161","Pontoporeia affinis","Pontoporeia affinis","Malacostraca"
"162","Roccus chrysops","Roccus chrysops",NA
"163","Salmo gairdneri","Oncorhynchus mykiss","Teleostei"
"164","Salvelinus fontinalis","Salvelinus fontinalis","Teleostei"
"165","Salvelinus namaycush","Salvelinus namaycush","Teleostei"
"166","Semotilus atromaculatus","Semotilus atromaculatus","Teleostei"
"167","Stizostedion vitreum","Sander vitreus","Teleostei"
"168","Barbus meridionalis","Barbus meridionalis","Teleostei"
"169","Pomadasys hasta","Pomadasys hasta","Teleostei"
"170","Schizopygopsis stali","Teleostei","Teleostei"
"171","Schizopygopsis stoliczkae","Schizopygopsis stoliczkae",NA
"172","Buergeria buergeri","Buergeria buergeri","Amphibia"
"173","Bufo japonicus","Bufo japonicus","Amphibia"
"174","Elaphe quadrivirgata","Elaphe quadrivirgata","Reptilia"
"175","Rana ornativentris","Rana ornativentris","Amphibia"
"176","Rana rugosa","Glandirana rugosa","Amphibia"
"177","Rana tagoi","Rana tagoi","Amphibia"
"178","Rhabdophis tigrina","Rhabdophis tigrina",NA
"179","Alcedo atthis","Alcedo atthis","Aves"
"180","Anas querquedula","Anas querquedula","Aves"
"181","Benthophilus stellatus","Benthophilus stellatus","Teleostei"
"182","Delichon urbica","Delichon urbicum","Aves"
"183","Dikerogammarus haematobaphes","Dikerogammarus haematobaphes",NA
"184","Dikerogammarus haemobaphes","Dikerogammarus haemobaphes",NA
"185","Dikerogammarus villosus","Dikerogammarus villosus",NA
"186","Gammarus balcanicus","Gammarus balcanicus",NA
"187","Gammarus lacustris","Gammarus lacustris","Malacostraca"
"188","Gammarus kischineffensis","Gammarus kischineffensis",NA
"189","Ictalurus nebulosus","Ameiurus nebulosus","Teleostei"
"190","Osmerus eperlanus","Osmerus eperlanus","Teleostei"
"191","Phoxinus percnurus","Phoxinus percnurus",NA
"192","Pomatoschistus marmoratus","Pomatoschistus marmoratus","Teleostei"
"193","Scardinius erythrophthalmus/Abramis","Teleostei","Teleostei"
"194","Stenodus leucichthys","Stenodus leucichthys","Teleostei"
"195","Stizostedion volgensis","Stizostedion volgensis",NA
"196","Umbra krameri","Umbra krameri","Teleostei"
"197","Chaenogobius urotaenia","Chaenogobius urotaenia",NA
"198","Mogurnda obscura","Mogurnda obscura",NA
"199","Oncorhynchus masou","Oncorhynchus masou","Teleostei"
"200","Parasilurus asotus","Parasilurus asotus","Teleostei"
"201","Chaenogobius annularis","Chaenogobius annularis","Teleostei"
"202","Gnathopogon elongatus","Gnathopogon elongatus","Teleostei"
"203","Hemibarbus barbus","Hemibarbus barbus","Teleostei"
"204","Hymenophysa curta","Leptobotia curta","Teleostei"
"205","Leuciscus hakonensis","Leuciscus hakonensis",NA
"206","Misgurnus anguillicaudatus","Misgurnus anguillicaudatus","Teleostei"
"207","Oncorhynchus rhodurus","Oncorhynchus masou","Teleostei"
"208","Opsariichthys uncirostris","Opsariichthys uncirostris","Teleostei"
"209","Phoxinus steindachneri","Phoxinus steindachneri",NA
"210","Plecoglossus altivelis","Plecoglossus altivelis","Teleostei"
"211","Pseudorasbora parva","Pseudorasbora parva","Teleostei"
"212","Zacco platypus","Zacco platypus","Teleostei"
"213","Homo sapiens","Homo sapiens","Mammalia"
"214","Thymallus arcticus","Thymallus arcticus","Teleostei"
"215","Etheostoma punctualum","Etheostoma punctualum",NA
"216","Notropis pislbryi","Notropis pislbryi",NA
"217","Hyporhamphus sayori","Hyporhamphus sayori",NA
"218","Aythya affinis","Aythya affinis","Aves"
"219","Gavia stellata","Gavia stellata","Aves"
"220","Haliaeetus leucocephalus","Haliaeetus leucocephalus","Aves"
"221","Nycticorax nycticorax","Nycticorax nycticorax","Aves"
"222","Pandion haliaetus","Pandion haliaetus","Aves"
"223","Pholis gunnellus","Pholis gunnellus","Teleostei"
"224","Podiceps cristatus","Podiceps cristatus","Aves"
"225","Podiceps grisegena","Podiceps grisegena","Aves"
"226","Gavia immer","Gavia immer","Aves"
"227","Phalacrocorax carbo","Phalacrocorax carbo","Aves"
"228","Phalacrocorax filamentosus","Phalacrocorax filamentosus",NA
"229","Paraplagusia guttata","Paraplagusia guttata","Teleostei"
"230","Arius thalassinus","Netuma thalassinus","Teleostei"
"231","Plotosus canius","Plotosus canius","Teleostei"
"232","Upeneus sulphureus","Upeneus sulphureus","Teleostei"
"233","Mugil platanus","Mugil platanus",NA
