"","hosts","hostclean","group"
"3159","Myoxus chilensis","Myoxus chilensis",NA
"3160","Myoxus glis","Glis glis","Mammalia"
"3161","Myoxus nitidula","Myoxus nitidula",NA
"3162","Certhia familiaris","Certhia familiaris","Aves"
"3163","Chloris chloris","Parasa chloris","Insecta"
"3164","Rhabdomys pumilio","Rhabdomys pumilio","Mammalia"
"3165","Calidris maritima","Calidris maritima","Aves"
"3166","Tringa maritilles","Rhagio tringarius","Insecta"
"3167","Tringa nebularia","Tringa nebularia","Aves"
"3168","Erolia ruficollis","Erolia ruficollis",NA
"3169","Erolia temminckii","Erolia temminckii",NA
"3170","Larus ichthyaetus","Ichthyaetus ichthyaetus","Aves"
"3171","Tringa alpina","Tringa alpina",NA
"3172","Acuta acuta","Acuta",NA
"3173","Plectropterus gambensis","Plectropterus gambensis","Aves"
"3174","Myopotamis coypus","Myopotamis coypus",NA
"3175","Fuligula fuligula","Ptyonoprogne fuligula","Aves"
"3176","Galba palustris","Galba palustris",NA
"3177","Gymnostinops vurnearium","Gymnostinops vurnearium",NA
"3178","Ostinops decumanus","Ostinops decumanus",NA
"3179","Ostinops viridis","Ostinops viridis",NA
"3180","Rostratula benghalensis","Rostratula benghalensis","Aves"
"3181","Petrocincla cyanea","Petrocincla cyanea",NA
"3182","Petrocincla solitarinus","Petrocincla solitarinus",NA
"3183","Phalacrocorax africanus","Microcarbo africanus","Aves"
"3184","Phalacrocorax niger","Microcarbo niger","Aves"
"3185","Phalacrocorax pygmaeus","Phalacrocorax pygmaeus",NA
"3186","Cygnus bewickii","Cygnus bewickii",NA
"3187","Philacte canagica","Chen canagica","Aves"
"3188","Pitymys pinetorum","Microtus pinetorum","Mammalia"
"3189","Colymbus griseigena","Colymbus griseigena",NA
"3190","Glareola nordmannni","Glareola nordmannni",NA
"3191","Arvicola amphibius","Arvicola amphibius","Mammalia"
"3192","Myotis terrestris","Mammalia","Mammalia"
"3193","Hydroprogne tschegrava","Hydroprogne tschegrava",NA
"3194","Oidemia nigra","Oidemia nigra",NA
"3195","Sorex shinto","Sorex shinto","Mammalia"
"3196","Podiceps hollboelli","Podiceps hollboelli",NA
"3197","Rhinolophus cornutus","Rhinolophus cornutus","Mammalia"
"3198","Marila marila","Aythya marila","Aves"
"3199","Ctenophthalmus agyrtes","Ctenophthalmus agyrtes",NA
"3200","Ctenophthalmus assimilis","Ctenophthalmus assimilis",NA
"3201","Ctenophthalmus biochtodentates","Ctenophthalmus biochtodentates",NA
"3202","Ctenophthalmus congener","Ctenophthalmus congener",NA
"3203","Paleopsylla soricis","Paleopsylla soricis",NA
"3204","Aethiopsar cristatellus","Aethiopsar cristatellus",NA
"3205","Corvus torquatus","Corvus torquatus","Aves"
"3206","Nucifraga caryocatactes","Nucifraga caryocatactes","Aves"
"3207","Turdus musicus","Turdus iliacus","Aves"
"3208","Streptopelia chinensis","Streptopelia chinensis","Aves"
"3209","Stigmatopelia cambayensis","Stigmatopelia cambayensis",NA
"3210","Turtur turtox","Pachyptila turtur","Aves"
"3211","Tadorna cornuta","Tadorna cornuta",NA
"3212","Streptopelia capicola","Streptopelia capicola","Aves"
"3213","Streptopelia sengalensis","Streptopelia sengalensis",NA
"3214","Pluvialis aegypticus","Haematococcus pluvialis","Chlorophyceae"
"3215","Rostratula capensis","Rostratula capensis",NA
"3216","Vanellus aegyptiacus","Stiliger vanellus","Gastropoda"
"3217","Nyroca marila","Nyroca marila",NA
"3218","Micropalama himantopus","Calidris himantopus","Aves"
"3219","Palidna alpina","Palidna alpina",NA
"3220","Tringa flavipes","Tringa flavipes","Aves"
"3221","Otis tarda","Otis tarda","Aves"
"3222","Tetrastes bonasia","Tetrastes bonasia","Aves"
"3223","Tetrax tetrax","Tetrax tetrax","Aves"
"3224","Fuligula ferina","Fuligula ferina",NA
"3225","Merganser castor","Merganser castor",NA
"3226","Anas marila","Anas marila",NA
"3227","Clangula clangula","Bucephala clangula","Aves"
"3228","Numenius phaeopus","Numenius phaeopus","Aves"
"3229","Silpa carinata","Silpa carinata",NA
"3230","Silpha carinata","Silpha carinata","Insecta"
"3231","Sylpha carinata","Sylpha carinata",NA
"3232","Sylpha laevigata","Sylpha laevigata",NA
"3233","Totanus hypoleucos","Totanus hypoleucos",NA
"3234","Heterohyrax mossambica","Heterohyrax mossambica",NA
"3235","Chinchilla laniger","Chinchilla lanigera","Mammalia"
"3236","Hybomys univittatus","Hybomys univittatus","Mammalia"
"3237","Praomys natalensis","Praomys natalensis",NA
"3238","Rattus nataliensis","Rattus nataliensis",NA
"3239","Sorex alpinus","Sorex alpinus","Mammalia"
"3240","Euilyodrilus hammoniensis","Euilyodrilus hammoniensis",NA
"3241","Ilyodrilus templetoni","Ilyodrilus templetoni","Clitellata"
"3242","Limnodrilus udekemianus","Limnodrilus udekemianus","Clitellata"
"3243","Totanus stagnalis","Totanus stagnalis",NA
"3244","Oxyura jamaicensis","Oxyura jamaicensis","Aves"
"3245","Oedicnemus crepitans","Oedicnemus crepitans",NA
"3246","Larus tridactylus","Rissa tridactyla","Aves"
"3247","Capoetobrama kuschakewitschi","Capoetobrama kuschakewitschi","Teleostei"
"3248","Cobitis elongatoides","Cobitis elongatoides","Teleostei"
"3249","Acanthobrama marmid","Acanthobrama marmid","Teleostei"
"3250","Amblypharyngodon mola","Amblypharyngodon mola","Teleostei"
"3251","Anhinga melanogaster","Anhinga melanogaster","Aves"
"3252","Aquila chrysaetos","Aquila chrysaetos","Aves"
"3253","Aquila nipalensis","Aquila nipalensis","Aves"
"3254","Ardeola ralloides","Ardeola ralloides","Aves"
"3255","Barbus kamolondoensis","Barbus kamolondoensis","Teleostei"
"3256","Barbus lineomaculatus","Barbus lineomaculatus","Teleostei"
"3257","Barbus longicauda","Barbus longicauda",NA
"3258","Barbus lukusiensis","Barbus lukusiensis","Teleostei"
"3259","Barbus marequensis","Labeobarbus marequensis","Teleostei"
"3260","Barbus microbarbis","Barbus microbarbis","Teleostei"
"3261","Barbus nicholsi","Barbus nicholsi",NA
"3262","Barbus paludinosus","Barbus paludinosus","Teleostei"
"3263","Barbus radiatus","Barbus radiatus","Teleostei"
"3264","Barbus unitaeniatus","Barbus unitaeniatus","Teleostei"
"3265","Chirostoma bartoni","Chirostoma bartoni","Teleostei"
"3266","Chirostoma consocium","Chirostoma consocium","Teleostei"
"3267","Chlidonias hybrida","Chlidonias hybrida","Aves"
"3268","Ciconia ciconia","Ciconia ciconia","Aves"
"3269","Engraulicypris argenteus","Engraulicypris argenteus",NA
"3270","Galaxias truttaceus","Galaxias truttaceus","Teleostei"
"3271","Gobio cynocephalus","Gobio cynocephalus",NA
"3272","Gobius kessleri","Neogobius kessleri","Teleostei"
"3273","Hiodon alosoides","Hiodon alosoides","Teleostei"
"3274","Hydrochelidon nigra","Hydrochelidon nigra",NA
"3275","Labeo calbasu","Labeo calbasu","Teleostei"
"3276","Labeo lukulae","Labeo lukulae","Teleostei"
"3277","Lermichthys multiradiatius","Lermichthys multiradiatius",NA
"3278","Leuciscus rutilus","Rutilus rutilus","Teleostei"
"3279","Nemachilus rupicola","Nemachilus rupicola",NA
"3280","Notropis heterolepis","Notropis heterolepis","Teleostei"
"3281","Poblana alchichicae","Poblana alchichicae",NA
"3282","Rastrineobola argentea","Rastrineobola argentea","Teleostei"
"3283","Falco fulvus","Falco fulvus",NA
"3284","Charadrius morinellus","Charadrius morinellus","Aves"
"3285","Criodrilus lacuum","Criodrilus lacuum","Clitellata"
"3286","Podilymbus gigas","Podilymbus gigas","Aves"
"3287","Alticola argentatus","Alticola argentatus","Mammalia"
"3288","Anolis carolinensis","Anolis carolinensis","Reptilia"
"3289","Apodemus mystacinus","Apodemus mystacinus","Mammalia"
"3290","Coronella austriaca","Coronella austriaca","Reptilia"
"3291","Elaphe dione","Elaphe dione","Reptilia"
"3292","Elaphe longissima","Elaphe longissima",NA
"3293","Felis domesticus","Felis domesticus",NA
"3294","Felis manul","Felis manul","Mammalia"
"3295","Gulo gulo","Gulo gulo","Mammalia"
"3296","Lynx lynx","Lynx lynx","Mammalia"
"3297","Martes americana","Martes americana","Mammalia"
"3298","Martes foina","Martes foina","Mammalia"
"3299","Martes martes","Martes martes","Mammalia"
"3300","Meles meles","Meles meles","Mammalia"
"3301","Mustela altaica","Mustela altaica","Mammalia"
"3302","Sceloporus undulatus","Sceloporus undulatus","Reptilia"
"3303","Sorex monticolus","Sorex monticolus","Mammalia"
"3304","Sorex pribilofensis","Sorex pribilofensis","Mammalia"
"3305","Tropidonotus platyceps","Tropidonotus platyceps",NA
"3306","Vipera ammodytes","Vipera ammodytes","Reptilia"
"3307","Vormela peregusna","Vormela peregusna","Mammalia"
"3308","Eugammarus lacustris","Eugammarus lacustris",NA
"3309","Anodonta piscinalis","Anodonta anatina","Bivalvia"
"3310","Lymnaea auricularia","Lymnaea auricularia","Gastropoda"
"3311","Anisus contortus","Anisus contortus",NA
"3312","Coretus coretus","Coretus coretus",NA
"3313","Fuligula vallisneria","Fuligula vallisneria",NA
"3314","Lymnaea coretus","Lymnaea coretus",NA
"3315","Lymnaea lagotis","Lymnaea lagotis",NA
"3316","Planorbis planorbis","Planorbis planorbis",NA
"3317","Valvata cristata","Valvata cristata",NA
"3318","Viviparus sontectus","Viviparus sontectus",NA
"3319","Viviparus viviparus","Viviparus viviparus",NA
"3320","Acroloxus lacustris","Acroloxus lacustris",NA
"3321","Amphipeplea gluteosa","Amphipeplea gluteosa",NA
"3322","Coretus corneus","Coretus corneus",NA
"3323","Radix ovata","Radix ovata","Gastropoda"
"3324","Anas histrionica","Anas hiſtrionica Linnaeus 1758",NA
"3325","Diaptomus mirus","Diaptomus mirus",NA
"3326","Diaptomus sarsi","Sinodiaptomus sarsi","Maxillopoda"
"3327","Mesocyclops bicolor","Maxillopoda","Maxillopoda"
"3328","Paracyclops affinis","Paracyclops affinis","Maxillopoda"
"3329","Grensia praeterita","Grensia praeterita","Insecta"
"3330","Calidris ruficolis","Calidris ruficolis",NA
"3331","Helobdella stagnalis","Helobdella stagnalis","Clitellata"
"3332","Herpobdella atomaria","Herpobdella atomaria",NA
"3333","Herpobdella octoculata","Herpobdella octoculata",NA
"3334","Herpobdella octoulata","Herpobdella octoulata",NA
"3335","Herpobdella punctata","Herpobdella punctata",NA
"3336","Deroceras reticulatum","Deroceras reticulatum","Gastropoda"
"3337","Discus ruderatus","Discus ruderatus",NA
"3338","Euomphalia strigella","Euomphalia strigella",NA
"3339","Monacha cartusiana","Monacha cartusiana",NA
"3340","Sorex isodon","Sorex isodon","Mammalia"
"3341","Succinea elegans","Succinea elegans",NA
"3342","Macrocyclops distinctus","Macrocyclops distinctus","Maxillopoda"
"3343","Salminus maxillosus","Salminus maxillosus",NA
"3344","Silurus dorgado","Ictalurus punctatus","Teleostei"
"3345","Silurus megacephalus","Silurus megacephalus",NA
"3346","Hyaena hyaena","Hyaena hyaena","Mammalia"
"3347","Lepus nigricollis","Lepus nigricollis","Mammalia"
"3348","Lepus ruficaudatus","Lepus ruficaudatus",NA
"3349","Oryctolagus cuniculus","Oryctolagus cuniculus","Mammalia"
"3350","Apus affinis","Apus affinis","Aves"
"3351","Sorex daphaenodon","Sorex daphaenodon","Mammalia"
"3352","Sorex gracillimus","Sorex gracillimus","Mammalia"
"3353","Sorex minutissimus","Sorex minutissimus","Mammalia"
"3354","Hemiprocne longipennis","Hemiprocne longipennis","Aves"
"3355","Collocalia unicolor","Collocalia unicolor",NA
"3356","Apus pacificus","Apus pacificus","Aves"
"3357","Apus pallidus","Apus pallidus","Aves"
"3358","Apus caffer","Apus caffer","Aves"
"3359","Apus melba","Apus melba","Aves"
"3360","Hirundapas caudacutus","Hirundapas caudacutus",NA
"3361","Myrmecophaga tetradactyla","Myrmecophaga tetradactyla",NA
"3362","Tantalus falcinellus","Tantalus falcinellus",NA
"3363","Microtus mogollonensis","Microtus mexicanus","Mammalia"
"3364","Chionomys gud","Chionomys gud","Mammalia"
"3365","Microtus cabrerae","Microtus cabrerae","Mammalia"
"3366","Microtus guentheri","Microtus guentheri","Mammalia"
"3367","Microtus miurus","Microtus miurus","Mammalia"
"3368","Mus amphibius","Hippopotamus amphibius","Mammalia"
"3369","Ochotona hyperborea","Ochotona hyperborea","Mammalia"
"3370","Chettusia leucura","Chettusia leucura",NA
"3371","Hoplopterus indicus","Hoplopterus indicus",NA
"3372","Xema minutum","Demospongiae","Demospongiae"
"3373","Scops brasilianus","Megascops guatemalae","Aves"
"3374","Macropteryx longipennis","Macropteryx longipennis",NA
"3375","Lophoceros nasutus","Lophoceros nasutus",NA
"3376","Chloroura chloroura","Chloroura chloroura",NA
"3377","Bucorvus abyssinicus","Bucorvus abyssinicus","Aves"
"3378","Coccystes cafer","Coccystes cafer",NA
"3379","Apus longipennis","Myosurus minimus","Magnoliopsida"
"3380","Sylvia curruca","Sylvia curruca","Aves"
"3381","Lophoceros birostris","Lophoceros birostris",NA
"3382","Lophoceros erythrorhynchus","Lophoceros erythrorhynchus",NA
"3383","Salpinctes obsoletus","Salpinctes obsoletus","Aves"
"3384","Asio accipitrinus","Asio accipitrinus",NA
"3385","Prionops plumata","Prionops plumata",NA
"3386","Podoces hendersoni","Podoces hendersoni","Aves"
"3387","Quelea quelea","Quelea quelea","Aves"
"3388","Argolius acadica","Argolius acadica",NA
"3389","Strix varia","Strix varia","Aves"
"3390","Corvus brachyrhynchos","Corvus brachyrhynchos","Aves"
"3391","Coracias indica","Coracias indica",NA
"3392","Coccyzus americanus","Coccyzus americanus","Aves"
"3393","Dryobates villosus","Dryobates villosus",NA
"3394","Coccyzus melanocoryphus","Coccyzus melanocoryphus",NA
"3395","Piaya cayana","Piaya cayana","Aves"
"3396","Lophoceros semifasciatus","Lophoceros semifasciatus",NA
"3397","Tockus alboterminatus","Tockus alboterminatus","Aves"
"3398","Trogon rufus","Trogon rufus","Aves"
"3399","Apus malba","Apus malba",NA
"3400","Campephaga phoenica","Campephaga phoenica",NA
"3401","Calandrella brachydactyla","Calandrella brachydactyla","Aves"
"3402","Carabus hortensis","Carabus hortensis",NA
"3403","Corvus corax","Corvus corax","Aves"
"3404","Fringilla montifringilla","Fringilla montifringilla","Aves"
"3405","Geotrupes sylvaticus","Geotrupes sylvaticus",NA
"3406","Sturnus cineraceus","Spodiopsar cineraceus","Aves"
"3407","Zabrus tenebrioides","Zabrus tenebrioides",NA
"3408","Eisenia foetida","Eisenia fetida","Clitellata"
"3409","Procellaria gelida","Procellaria gelida",NA
"3410","Halmaturus giganteus","Halmaturus giganteus",NA
"3411","Macropus agilis","Macropus agilis","Mammalia"
"3412","Macropus antilopinus","Macropus antilopinus","Mammalia"
"3413","Macropus irma","Macropus irma","Mammalia"
"3414","Macropus rufus","Macropus rufus","Mammalia"
"3415","Onychogalea unguifera","Onychogalea unguifera","Mammalia"
"3416","Setonix brachyurus","Setonix brachyurus","Mammalia"
"3417","Coregonus fera","Coregonus fera","Teleostei"
"3418","Coregonus muksun","Coregonus muksun","Teleostei"
"3419","Leucichthys zenithicus","Leucichthys zenithicus",NA
"3420","Anguilla bostoniensis","Anguilla bostoniensis",NA
"3421","Cyclops abyssorum","Cyclops abyssorum","Maxillopoda"
"3422","Eudiaptomus zachariasi","Eudiaptomus zachariasi",NA
"3423","Heterocope appendiculata","Heterocope appendiculata","Maxillopoda"
"3424","Salmo mykiss","Oncorhynchus mykiss","Teleostei"
"3425","Astronotus ocellatus","Astronotus ocellatus","Teleostei"
"3426","Coregonus pidschian","Coregonus pidschian","Teleostei"
"3427","Cyclops agilis","Eucyclops agilis","Maxillopoda"
"3428","Megacyclops gigas","Megacyclops gigas","Maxillopoda"
"3429","Glomeris limbata","Glomeris limbata",NA
"3430","Eleginus gracilis","Eleginus gracilis","Teleostei"
"3431","Megalocottus platycephalus","Megalocottus platycephalus","Teleostei"
"3432","Anas undulata","Anas undulata","Aves"
"3433","Arctodiaptomus dentifer","Arctodiaptomus dentifer",NA
"3434","Candonia cristata","Candonia cristata",NA
"3435","Phyllodiaptomus blancii","Phyllodiaptomus blancii",NA
"3436","Paleornis eupatria","Paleornis eupatria",NA
"3437","Agrion hastulatum","Agrion hastulatum",NA
"3438","Ischnura elegans","Ischnura elegans",NA
"3439","Ciconia nigra","Ciconia nigra","Aves"
"3440","Lophodytes cucullatus","Lophodytes cucullatus","Aves"
"3441","Podiceps rubricollis","Podiceps rubricollis",NA
"3442","Pomatoschistus pictus","Pomatoschistus pictus","Teleostei"
"3443","Colymbus minor","Pteria colymbus","Bivalvia"
"3444","Agrion armatum","Agrion armatum",NA
"3445","Enallagma cyathigerum","Enallagma cyathigerum","Insecta"
"3446","Erythromma najas","Erythromma najas",NA
"3447","Ischnura pumilio","Ischnura pumilio",NA
"3448","Candonia rostrata","Candonia rostrata",NA
"3449","Geotrupes stercorosus","Geotrupes stercorosus",NA
"3450","Tachinus pallipes","Tachinus pallipes",NA
"3451","Antechinus bellus","Antechinus bellus","Mammalia"
"3452","Antechinus swainsonii","Antechinus swainsonii","Mammalia"
"3453","Crocidura dsinezumi","Crocidura dsinezumi","Mammalia"
"3454","Dasyurus hallucatus","Dasyurus hallucatus","Mammalia"
"3455","Dasyurus maculatus","Dasyurus maculatus","Mammalia"
"3456","Dasyurus viverrinus","Dasyurus viverrinus","Mammalia"
"3457","Eothenomys kageus","Eothenomys kageus",NA
"3458","Felis bengalensis","Prionailurus bengalensis","Mammalia"
"3459","Litoria rubella","Litoria rubella","Amphibia"
"3460","Ornithorhynchus anatinus","Ornithorhynchus anatinus","Mammalia"
"3461","Pseudantechinus bilarni","Pseudantechinus bilarni","Mammalia"
"3462","Pseudantechinus macdonnellensis","Pseudantechinus macdonnellensis","Mammalia"
"3463","Python molurus","Python molurus","Reptilia"
"3464","Rhadophis tigrinus","Rhadophis tigrinus",NA
"3465","Sarcophilus harrisii","Sarcophilus harrisii","Mammalia"
"3466","Tachyglossus aculeatus","Tachyglossus aculeatus","Mammalia"
"3467","Urotrichus talpoides","Urotrichus talpoides","Mammalia"
"3468","Japalura polygonata","Japalura polygonata","Reptilia"
"3469","Ophisaurus apodus","Ophisaurus apodus",NA
"3470","Rana limnocharis","Rana limnocharis",NA
"3471","Felis rufus","Lynx rufus","Mammalia"
"3472","Chorthippus apricarius","Chorthippus apricarius",NA
"3473","Chorthippus biguttulus","Chorthippus biguttulus",NA
"3474","Chorthippus paralellus","Chorthippus paralellus",NA
"3475","Chrysochraon brachypterus","Chrysochraon brachypterus",NA
"3476","Crocidura guldenstaedti","Crocidura guldenstaedti",NA
"3477","Omocestus viridulus","Omocestus viridulus",NA
"3478","Pterostichus vulgaris","Pterostichus vulgaris",NA
"3479","Silpha obscura","Silpha obscura","Insecta"
"3480","Thanatophilus sinatus","Thanatophilus sinatus",NA
"3481","Acinonyx jubatus","Acinonyx jubatus","Mammalia"
"3482","Hippotragus niger","Hippotragus niger","Mammalia"
"3483","Calidris mauri","Calidris mauri","Aves"
"3484","Merula vulgaris","Merula vulgaris",NA
"3485","Turdus torquatus","Lanioturdus torquatus","Aves"
"3486","Meles taxus","Meles taxus",NA
"3487","Ardea caerulea","Ardea caerulea",NA
"3488","Macrorhamphus griseus","Macrorhamphus griseus",NA
"3489","Scolopax calidris","Oxytoxum scolopax","Dinophyceae"
"3490","Cricetus auratus","Mesocricetus auratus","Mammalia"
"3491","Dicrostonyx groenlandicus","Dicrostonyx groenlandicus","Mammalia"
"3492","Genetta genetta","Genetta genetta","Mammalia"
"3493","Marmota marmota","Marmota marmota","Mammalia"
"3494","Marmota monax","Marmota monax","Mammalia"
"3495","Tamias striatus","Tamias striatus","Mammalia"
"3496","Vulpes vulgaris","Vulpes vulgaris",NA
"3497","Adenota kob","Adenota kob",NA
"3498","Alcelaphus lewel","Alcelaphus lewel",NA
"3499","Hippotragus equinus","Hippotragus equinus","Mammalia"
"3500","Hyaena brunnea","Hyaena brunnea","Mammalia"
"3501","Kobus leche","Kobus leche","Mammalia"
"3502","Redunca arundinum","Redunca arundinum","Mammalia"
"3503","Taurotragus derbianus","Taurotragus derbianus","Mammalia"
"3504","Tragelaphus scriptus","Tragelaphus scriptus","Mammalia"
"3505","Cephalophus grinui","Mammalia","Mammalia"
"3506","Gerbillus pyramidum","Gerbillus pyramidum","Mammalia"
"3507","Synodontis schall","Synodontis schall","Teleostei"
"3508","Daption capense","Daption capense","Aves"
"3509","Diomedea exulans","Diomedea exulans","Aves"
"3510","Diomedea fulginosa","Diomedea fulginosa",NA
"3511","Gazella soemmeringi","Gazella soemmeringi",NA
"3512","Aplodontia rufa","Aplodontia rufa","Mammalia"
"3513","Calliphora quadrimaculata","Calliphora quadrimaculata",NA
"3514","Calliphora stygia","Calliphora stygia",NA
"3515","Dama dama","Dama dama","Mammalia"
"3516","Erythrocebus patas","Erythrocebus patas","Mammalia"
"3517","Gazella subgutturosa","Gazella subgutturosa","Mammalia"
"3518","Hybopygia varia","Hybopygia varia",NA
"3519","Oryx biesa","Demospongiae","Demospongiae"
"3520","Ovis canadensis","Ovis canadensis","Mammalia"
"3521","Ovis musimon","Ovis aries","Mammalia"
"3522","Panthera uncia","Uncia uncia","Mammalia"
"3523","Raphicerus melanotis","Raphicerus melanotis","Mammalia"
"3524","Xenocalliphora hortona","Xenocalliphora hortona",NA
"3525","Scolopax gallinula","Scolopax gallinula",NA
"3526","Sterna nigra","Sterna nigra",NA
"3527","Gerbillus meridianus","Meriones meridianus","Mammalia"
"3528","Lynx canadensis","Lynx canadensis","Mammalia"
"3529","Felis baileyi","Anabaena felisii","Cyanophyceae"
"3530","Felis tigrina","Felis tigrina",NA
"3531","Felis weidii","Felis weidii",NA
"3532","Lepus americanus","Lepus americanus","Mammalia"
"3533","Lepus californicus","Lepus californicus","Mammalia"
"3534","Sylvilagus brasiliensis","Sylvilagus brasiliensis","Mammalia"
"3535","Madoqua guentheri","Madoqua guentheri","Mammalia"
"3536","Bassariscus astutus","Bassariscus astutus","Mammalia"
"3537","Microtus xanthognathus","Microtus xanthognathus","Mammalia"
"3538","Capra severtzowi","Capra severtzowi",NA
"3539","Capra sibirica","Capra sibirica","Mammalia"
"3540","Ctenodactylus gundi","Ctenodactylus gundi","Mammalia"
"3541","Lepus alleni","Lepus alleni","Mammalia"
"3542","Ovis orientalis","Ovis aries","Mammalia"
"3543","Rupicapra pyrenaica","Rupicapra pyrenaica","Mammalia"
"3544","Citellus franklinii","Poliocitellus franklinii","Mammalia"
"3545","Eutamias minimus","Tamias minimus","Mammalia"
"3546","Lophuromys flavopunctatus","Lophuromys flavopunctatus","Mammalia"
"3547","Microtus mirhanreini","Chionomys nivalis","Mammalia"
"3548","Microtus mongolicus","Microtus mongolicus","Mammalia"
"3549","Microtus ochrogaster","Microtus ochrogaster","Mammalia"
"3550","Microtus schilovski","Microtus schilovski",NA
"3551","Mustela nigripes","Mustela nigripes","Mammalia"
"3552","Synaptomys borealis","Synaptomys borealis","Mammalia"
"3553","Synaptomys cooperi","Synaptomys cooperi","Mammalia"
"3554","Thomomys talpoides","Thomomys talpoides","Mammalia"
"3555","Zapus hudsonius","Zapus hudsonius","Mammalia"
"3556","Sterna fissipes","Sterna fissipes",NA
"3557","Felis azteca","Anabaena felisii","Cyanophyceae"
"3558","Felis hipploestes","Felis hipploestes",NA
"3559","Felis oregonensis","Puma concolor","Mammalia"
"3560","Oriolus galbula","Oriolus galbula",NA
"3561","Antilocapra americana","Antilocapra americana","Mammalia"
"3562","Rangifer caribou","Rangifer caribou",NA
"3563","Capreolus pygargus","Capreolus pygargus","Mammalia"
"3564","Genetta ludia","Genetta ludia",NA
"3565","Genetta tigrina","Genetta tigrina","Mammalia"
"3566","Ictonyx striatus","Ictonyx striatus","Mammalia"
"3567","Rattus chrysophilus","Rattus chrysophilus",NA
"3568","Rattus namaquensis","Rattus namaquensis",NA
"3569","Rattus paedulus","Trichocerca rattus","Monogonta"
"3570","Canis nebraskensis","Canis nebraskensis",NA
"3571","Cavia porcellus","Cavia porcellus","Mammalia"
"3572","Felis ocreata","Felis ocreata",NA
"3573","Lepus brachyurus","Lepus brachyurus","Mammalia"
"3574","Lepus capensis","Telothelepus capensis","Polychaeta"
"3575","Lepus floridanus","Lepus floridanus",NA
"3576","Lepus habessinicus","Lepus habessinicus","Mammalia"
"3577","Lepus tolai","Lepus tolai","Mammalia"
"3578","Lepus townsendii","Lepus townsendii","Mammalia"
"3579","Lynx pardinus","Lynx pardinus","Mammalia"
"3580","Putorius eversmani","Putorius eversmani",NA
"3581","Sylvilagus audubonii","Sylvilagus audubonii","Mammalia"
"3582","Sylvilagus nuttallii","Sylvilagus nuttallii","Mammalia"
"3583","Sylvilagus palustris","Sylvilagus palustris","Mammalia"
"3584","Sylvilagus transitionalis","Sylvilagus transitionalis","Mammalia"
"3585","Motacilla luscinia","Motacilla luscinia",NA
"3586","Ochotona alpina","Ochotona alpina","Mammalia"
"3587","Prometheomys schaposchnikovi","Prometheomys schaposchnikovi",NA
"3588","Cottus scorpius","Cottus scorpius",NA
"3589","Hippoglossus maximus","Hippoglossus hippoglossus","Teleostei"
"3590","Muscicapa collaris","Muscicapa collaris",NA
"3591","Lagidium peruanum","Lagidium peruanum","Mammalia"
"3592","Lagidium viscacia","Lagidium viscacia","Mammalia"
"3593","Rattus lutreolus","Rattus lutreolus","Mammalia"
"3594","Oryx beisa","Oryx beisa","Mammalia"
"3595","Redunca redunca","Redunca redunca","Mammalia"
"3596","Gazella dorcas","Gazella dorcas","Mammalia"
"3597","Gazella gutturosa","Gazella gutturosa",NA
"3598","Gazella rufifrons","Eudorcas rufifrons","Mammalia"
"3599","Kobus kob","Kobus kob","Mammalia"
"3600","Rangifer arcticus","Rangifer arcticus",NA
"3601","Pelecanus carbo","Pelecanus carbo",NA
"3602","Sylvilagus californicus","Mammalia","Mammalia"
"3603","Cercopithecus mitis","Cercopithecus mitis","Mammalia"
"3604","Dendromus pumilio","Dendromus pumilio",NA
"3605","Mastomys coucha","Mastomys coucha","Mammalia"
"3606","Otomys irroratus","Otomys irroratus","Mammalia"
"3607","Tachyoryctes ruandae","Tachyoryctes ruandae","Mammalia"
"3608","Cercopithecus cephus","Cercopithecus cephus","Mammalia"
"3609","Cercopithecus patas","Erythrocebus patas","Mammalia"
"3610","Hylobates lar","Hylobates lar","Mammalia"
"3611","Macaca inuus","Macaca inuus",NA
"3612","Mesocricetus auratus","Mesocricetus auratus","Mammalia"
"3613","Potamochoerus choeropotamus","Potamochoerus choeropotamus",NA
"3614","Potamochoerus porcus","Potamochoerus porcus","Mammalia"
"3615","Sus leucomytar","Sus leucomytar",NA
"3616","Corvus glandarius","Corvus glandarius",NA
"3617","Canis rufus","Canis lupus","Mammalia"
"3618","Felis tigris","Felis tigris",NA
"3619","Funambulus palmarum","Funambulus palmarum","Mammalia"
"3620","Microtus pinetorum","Microtus pinetorum","Mammalia"
"3621","Mustela foina","Mustela foina",NA
"3622","Phyllotis xanthopygus","Phyllotis xanthopygus","Mammalia"
"3623","Prionailurus bengalensis","Prionailurus bengalensis","Mammalia"
"3624","Pseudocheirus peregrinus","Pseudocheirus peregrinus","Mammalia"
"3625","Taxidea taxus","Taxidea taxus","Mammalia"
"3626","Mustela lutreola","Mustela lutreola","Mammalia"
"3627","Mustela vulgaris","Mustela vulgaris",NA
"3628","Cyclops albidus","Macrocyclops albidus","Maxillopoda"
"3629","Platalea ajaja","Platalea ajaja","Aves"
"3630","Erethizon dorsatum","Erethizon dorsatus","Mammalia"
"3631","Erethizon epixanthum","Erethizon epixanthum",NA
"3632","Ursus maritimus","Ursus maritimus","Mammalia"
"3633","Charadrius himantopus","Charadrius himantopus",NA
"3634","Himantopus rufipes","Himantopus rufipes",NA
"3635","Lepus silvaticus","Lepus sylvaticus",NA
