"","Parasite","genus","year","hs","first"
"1","Acanthocephaloides geneticus","Acanthocephaloides",1985,1,"not the first"
"2","Acanthocephaloides incrassatus","Acanthocephaloides",1858,17,"not the first"
"19","Acanthocephaloides kostylewi","Acanthocephaloides",1932,2,"not the first"
"21","Acanthocephaloides propinquus","Acanthocephaloides",1845,29,"first"
"52","Acanthocephalorhynchoides cholodkowskyi","Acanthocephalorhynchoides",1928,3,"first"
"55","Acanthocephalus aculeatus","Acanthocephalus",1931,6,"not the first"
"61","Acanthocephalus anguillae","Acanthocephalus",1780,58,"not the first"
"126","Acanthocephalus clavula","Acanthocephalus",1845,22,"not the first"
"148","Acanthocephalus dirus","Acanthocephalus",1931,60,"not the first"
"211","Acanthocephalus gracilacanthus","Acanthocephalus",1932,1,"not the first"
"212","Acanthocephalus haranti","Acanthocephalus",1969,2,"not the first"
"214","Acanthocephalus hastae","Acanthocephalus",1944,1,"not the first"
"215","Acanthocephalus kashmirensis","Acanthocephalus",1936,2,"not the first"
"217","Acanthocephalus lucidus","Acanthocephalus",1925,8,"not the first"
"225","Acanthocephalus lucii","Acanthocephalus",1777,61,"first"
"290","Acanthocephalus minor","Acanthocephalus",1935,7,"not the first"
"297","Acanthocephalus opsariichthydis","Acanthocephalus",1935,15,"not the first"
"312","Acanthocephalus rauschi","Acanthocephalus",1969,1,"not the first"
"313","Paracanthocephalus rauschi","Paracanthocephalus",1969,1,"not the first"
"314","Acanthocephalus tahlequahensis","Acanthocephalus",1976,3,"not the first"
"317","Allorhadinorhynchus segmentatus","Allorhadinorhynchus",1959,1,"exclude"
"318","Andracantha mergi","Andracantha",1942,8,"not the first"
"326","Andracantha phalacrocoracis","Andracantha",1939,5,"not the first"
"332","Arhythmacanthus paraplagusiarum","Arhythmacanthus",1972,1,"not the first"
"333","Arhythmacanthus septacanthus","Arhythmacanthus",1949,3,"first"
"336","Atactorhynchus mugilis","Atactorhynchus",1951,1,"not the first"
"337","Atactorhynchus verecundus","Atactorhynchus",1937,2,"first"
"339","Breizacanthus chabaudi","Breizacanthus",1969,1,"first"
"340","Breizacanthus irenae","Breizacanthus",1969,2,"first"
"342","Breizacanthus ligur","Breizacanthus",1975,6,"not the first"
"348","Cavisoma magnum","Cavisoma",1927,2,"exclude"
"350","Centrorhynchus aluconis","Centrorhynchus",1780,15,"first"
"365","Centrorhynchus clitorideum","Centrorhynchus",1931,2,"not the first"
"367","Centrorhynchus horridus","Centrorhynchus",1897,3,"not the first"
"370","Centrorhynchus sinicus","Centrorhynchus",1966,2,"not the first"
"372","Cleaveius prashadi","Cleaveius",1940,1,"first"
"373","Corynosoma anatarium","Corynosoma",1945,2,"not the first"
"375","Corynosoma clavatum","Corynosoma",1940,12,"not the first"
"387","Corynosoma constrictum","Corynosoma",1918,19,"not the first"
"408","Corynosoma enhydri","Corynosoma",1940,2,"not the first"
"410","Corynosoma pyriforme","Corynosoma",1819,1,"not the first"
"411","Corynosoma semerme","Corynosoma",1904,39,"not the first"
"454","Corynosoma strumosum","Corynosoma",1802,103,"first"
"564","Diplosentis amphacanthi","Diplosentis",1937,2,"first"
"566","Dollfusentis bravoae","Dollfusentis",1976,1,"not the first"
"567","Dollfusentis chandleri","Dollfusentis",1969,31,"not the first"
"598","Echinorhynchus abyssicola","Echinorhynchus",1931,1,"not the first"
"599","Echinorhynchus alpinus","Echinorhynchus",1901,1,"not the first"
"600","Echinorhynchus armoricanus","Echinorhynchus",1969,2,"not the first"
"602","Echinorhynchus calloti","Echinorhynchus",1969,1,"not the first"
"603","Echinorhynchus cestodicola","Echinorhynchus",1905,1,"not the first"
"604","Echinorhynchus cinctulus","Echinorhynchus",1905,2,"not the first"
"606","Echinorhynchus cinctus","Echinorhynchus",1819,2,"not the first"
"608","Echinorhynchus cotti","Echinorhynchus",1935,7,"not the first"
"615","Echinorhynchus gadi","Echinorhynchus",1942,134,"first"
"617","Echinorhynchus gadi","Echinorhynchus",1776,134,"first"
"761","Echinorhynchus inaequalis","Echinorhynchus",1809,2,"not the first"
"763","Echinorhynchus lageniformis","Echinorhynchus",1938,2,"not the first"
"765","Echinorhynchus laurentianus","Echinorhynchus",1957,9,"not the first"
"777","Echinorhynchus lotellae","Echinorhynchus",1939,4,"not the first"
"781","Echinorhynchus meyeri","Echinorhynchus",1984,1,"not the first"
"782","Echinorhynchus napaeformis","Echinorhynchus",1802,1,"not the first"
"783","Echinorhynchus nototheniae","Echinorhynchus",1986,2,"not the first"
"785","Echinorhynchus parasiluri","Echinorhynchus",1929,1,"not the first"
"786","Echinorhynchus rectus","Echinorhynchus",1892,2,"not the first"
"788","Echinorhynchus rhenanus","Echinorhynchus",1969,1,"not the first"
"789","Echinorhynchus salmonis","Echinorhynchus",NA,82,"not the first"
"804","Echinorhynchus salmonis","Echinorhynchus",1942,82,"not the first"
"810","Echinorhynchus salmonis","Echinorhynchus",1784,82,"not the first"
"886","Metechinorhynchus salmonis","Metechinorhynchus",1780,67,"first"
"961","Neoechinorhynchus salmonis","Neoechinorhynchus",1984,13,"not the first"
"974","Echinorhynchus sebastolobi","Echinorhynchus",1986,1,"not the first"
"975","Echinorhynchus vancleavei","Echinorhynchus",1969,2,"not the first"
"977","Echinorhynchus yamagutii","Echinorhynchus",1969,4,"not the first"
"981","Eocollis arcanus","Eocollis",1947,6,"first"
"987","Euzetacanthus simplex","Euzetacanthus",1810,7,"first"
"994","Femogibbosus assi","Femogibbosus",1973,1,"exclude"
"995","Fessisentis fessus","Fessisentis",1931,3,"first"
"999","Fessisentis friedi","Fessisentis",1972,5,"not the first"
"1004","Filicollis anatis","Filicollis",1788,27,"first"
"1032","Profilicollis anatis","Profilicollis",NA,1,"not the first"
"1033","Filisoma bucerium","Filisoma",1940,4,"not the first"
"1037","Filisoma indicum","Filisoma",1928,4,"first"
"1041","Filisoma japonicum","Filisoma",1936,1,"not the first"
"1042","Filisoma scatophagusi","Filisoma",1962,1,"not the first"
"1043","Floridosentis bravohollisae","Floridosentis",NA,1,"not the first"
"1044","Floridosentis elongatus","Floridosentis",1953,3,"not the first"
"1047","Floridosentis pacifica","Floridosentis",1969,1,"not the first"
"1048","Golvanacanthus blennii","Golvanacanthus",1972,7,"exclude"
"1055","Gorgorhynchoides bullocki","Gorgorhynchoides",1970,6,"not the first"
"1061","Gorgorhynchoides lintoni","Gorgorhynchoides",1970,5,"not the first"
"1066","Gorgorhynchus clavatus","Gorgorhynchus",1940,2,"not the first"
"1068","Gorgorhynchus epinephali","Gorgorhynchus",1939,1,"not the first"
"1069","Gorgorhynchus medius","Gorgorhynchus",1907,7,"first"
"1077","Gorgorhynchus satoi","Gorgorhynchus",1937,3,"not the first"
"1080","Gorytocephalus elongorchis","Gorytocephalus",1979,2,"not the first"
"1082","Gorytocephalus plecostomorum","Gorytocephalus",1971,2,"first"
"1084","Hebesoma violenteum","Hebesoma",1928,18,"exclude"
"1102","Heteracanthocephalus peltorhamphi","Heteracanthocephalus",1944,1,"first"
"1103","Heterosentis heteracanthus","Heterosentis",1896,13,"first"
"1119","Hypoechinorhynchus alaeopis","Hypoechinorhynchus",1939,3,"first"
"1122","Hypoechinorhynchus magellanicus","Hypoechinorhynchus",1950,2,"not the first"
"1124","Illiosentis cetratus","Illiosentis",1945,3,"not the first"
"1127","Illiosentis edmondsi","Illiosentis",1960,1,"not the first"
"1128","Illiosentis furcatus","Illiosentis",1956,2,"first"
"1129","Illiosentis furcatus","Illiosentis",1939,2,"first"
"1130","Indorhynchus indicus","Indorhynchus",1959,2,"first"
"1132","Leptorhynchoides aphredoderi","Leptorhynchoides",1976,2,"not the first"
"1134","Leptorhynchoides thecatus","Leptorhynchoides",1891,67,"not the first"
"1202","Longicollum alemniscus","Longicollum",1935,6,"first"
"1208","Longicollum chabanaudi","Longicollum",1963,1,"not the first"
"1209","Longicollum indicum","Longicollum",1971,1,"not the first"
"1210","Longicollum jutiani","Longicollum",1980,1,"not the first"
"1211","Longicollum pagrosomi","Longicollum",1935,8,"first"
"1219","Macracanthorhynchus hirudinaceus","Macracanthorhynchus",1781,35,"first"
"1256","Macracanthorhynchus ingens","Macracanthorhynchus",1879,21,"not the first"
"1278","Mediorhynchus grandis","Mediorhynchus",1916,2,"not the first"
"1281","Mediorhynchus micracanthus","Mediorhynchus",1819,41,"not the first"
"1323","Mediorhynchus taeniatum","Mediorhynchus",1801,3,"first"
"1327","Metacanthocephalus campbelli","Metacanthocephalus",1914,13,"first"
"1341","Metacanthocephalus dalmori","Metacanthocephalus",1983,25,"not the first"
"1368","Metacanthocephalus johnstoni","Metacanthocephalus",1983,22,"not the first"
"1392","Metacanthocephalus ovicephalus","Metacanthocephalus",1963,1,"not the first"
"1393","Metacanthocephalus pleuronichthydis","Metacanthocephalus",1959,1,"not the first"
"1394","Metacanthocephalus rennicki","Metacanthocephalus",1914,7,"first"
"1401","Micracanthorhynchina cynoglossi","Micracanthorhynchina",1980,2,"not the first"
"1403","Micracanthorhynchina dakusuiensis","Micracanthorhynchina",1938,3,"not the first"
"1406","Micracanthorhynchina hemirhamphi","Micracanthorhynchina",1944,2,"not the first"
"1408","Micracanthorhynchina motomurai","Micracanthorhynchina",1935,16,"first"
"1424","Microsentis wardae","Microsentis",1966,1,"exclude"
"1425","Moniliformis gracilis","Moniliformis",1819,1,"first"
"1426","Moniliformis moniliformis","Moniliformis",1819,74,"first"
"1504","Moniliformis moniliformis","Moniliformis",1933,74,"first"
"1505","Neoechinorhynchus agilis","Neoechinorhynchus",1819,9,"not the first"
"1514","Neoechinorhynchus agilis","Neoechinorhynchus",1982,9,"not the first"
"1516","Neoechinorhynchus aldrichettae","Neoechinorhynchus",1971,1,"not the first"
"1517","Neoechinorhynchus australis","Neoechinorhynchus",1931,2,"not the first"
"1519","Neoechinorhynchus bangoni","Neoechinorhynchus",1959,1,"not the first"
"1520","Neoechinorhynchus carpiodi","Neoechinorhynchus",1968,1,"not the first"
"1521","Neoechinorhynchus chelonos","Neoechinorhynchus",NA,1,"not the first"
"1522","Neoechinorhynchus chilkaensis","Neoechinorhynchus",1937,3,"not the first"
"1525","Neoechinorhynchus chrysemydis","Neoechinorhynchus",1954,5,"not the first"
"1532","Neoechinorhynchus constrictus","Neoechinorhynchus",1968,1,"not the first"
"1534","Neoechinorhynchus crassus","Neoechinorhynchus",1922,18,"not the first"
"1552","Neoechinorhynchus cristatus","Neoechinorhynchus",1936,6,"not the first"
"1558","Neoechinorhynchus cylindratus","Neoechinorhynchus",1913,33,"not the first"
"1592","Neoechinorhynchus devdevi","Neoechinorhynchus",1936,2,"not the first"
"1594","Neoechinorhynchus doryphorus","Neoechinorhynchus",1949,3,"not the first"
"1597","Neoechinorhynchus elongatus","Neoechinorhynchus",1959,3,"not the first"
"1607","Neoechinorhynchus emydis","Neoechinorhynchus",1851,6,"not the first"
"1613","Neoechinorhynchus pseudemydis","Neoechinorhynchus",1954,2,"not the first"
"1619","Neoechinorhynchus emyditoides","Neoechinorhynchus",1960,1,"not the first"
"1623","Neoechinorhynchus formosanus","Neoechinorhynchus",1938,4,"not the first"
"1627","Neoechinorhynchus golvani","Neoechinorhynchus",1978,21,"not the first"
"1648","Neoechinorhynchus goma","Neoechinorhynchus",NA,1,"not the first"
"1649","Neoechinorhynchus johnii","Neoechinorhynchus",1939,3,"not the first"
"1652","Neoechinorhynchus magnapapillatus","Neoechinorhynchus",1969,1,"not the first"
"1654","Neoechinorhynchus manasbalanse","Neoechinorhynchus",1951,6,"not the first"
"1660","Neoechinorhynchus notemigoni","Neoechinorhynchus",1967,2,"not the first"
"1662","Neoechinorhynchus paraguayensis","Neoechinorhynchus",1959,3,"not the first"
"1665","Neoechinorhynchus prolixoides","Neoechinorhynchus",1963,5,"not the first"
"1670","Neoechinorhynchus prolixus","Neoechinorhynchus",1952,2,"not the first"
"1678","Neoechinorhynchus pterodoridis","Neoechinorhynchus",1981,2,"not the first"
"1680","Neoechinorhynchus pungitius","Neoechinorhynchus",1971,7,"not the first"
"1687","Neoechinorhynchus robertbaueri","Neoechinorhynchus",1985,1,"not the first"
"1688","Neoechinorhynchus roseum","Neoechinorhynchus",1978,1,"not the first"
"1689","Neoechinorhynchus rutili","Neoechinorhynchus",1780,114,"first"
"1809","Neoechinorhynchus rutili","Neoechinorhynchus",1936,114,"first"
"1811","Neoechinorhynchus saginatus","Neoechinorhynchus",1949,15,"not the first"
"1839","Neoechinorhynchus sinicus","Neoechinorhynchus",1966,2,"not the first"
"1841","Neoechinorhynchus strigosus","Neoechinorhynchus",1949,8,"not the first"
"1849","Neoechinorhynchus stunkardi","Neoechinorhynchus",1961,2,"not the first"
"1852","Neoechinorhynchus tylosuri","Neoechinorhynchus",1939,6,"not the first"
"1858","Neoechinorhynchus venustus","Neoechinorhynchus",1936,1,"not the first"
"1859","Neoechinorhynchus wuyiensis","Neoechinorhynchus",1981,1,"not the first"
"1860","Neoechinorhynchus yalei","Neoechinorhynchus",1936,2,"not the first"
"1862","Neoncicola bursata","Neoncicola",1931,1,"not the first"
"1863","Oligacanthorhynchus atrata","Oligacanthorhynchus",1931,4,"not the first"
"1868","Oligacanthorhynchus decrescens","Oligacanthorhynchus",1931,1,"not the first"
"1869","Oncicola gigas","Oncicola",1931,1,"not the first"
"1870","Pallisentis allahabadi","Pallisentis",1958,4,"not the first"
"1875","Pallisentis basiri","Pallisentis",1958,2,"not the first"
"1877","Pallisentis celatus","Pallisentis",1928,20,"not the first"
"1898","Pallisentis gaboes","Pallisentis",1918,5,"first"
"1906","Pallisentis garuai","Pallisentis",1971,1,"not the first"
"1907","Pallisentis golvani","Pallisentis",1987,5,"not the first"
"1908","Pallisentis golvani","Pallisentis",1973,5,"not the first"
"1912","Pallisentis magnum","Pallisentis",1971,1,"not the first"
"1913","Pallisentis nagpurensis","Pallisentis",1931,6,"not the first"
"1923","Pallisentis ophiocephali","Pallisentis",1930,11,"not the first"
"1930","Pallisentis ophiocephali","Pallisentis",1973,11,"not the first"
"1933","Pallisentis ophiocephali","Pallisentis",1931,11,"not the first"
"1939","Pallisentis panadei","Pallisentis",1967,1,"not the first"
"1940","Pallisentis umbellatus","Pallisentis",1928,2,"not the first"
"1942","Pandosentis iracundus","Pandosentis",1920,4,"exclude"
"1946","Paracanthocephaloides chabanaudi","Paracanthocephaloides",1951,3,"not the first"
"1949","Paracanthocephaloides plotosi","Paracanthocephaloides",1935,1,"first"
"1950","Paracavisoma impudica","Paracavisoma",1851,3,"exclude"
"1953","Paragorgorhynchus chariensis","Paragorgorhynchus",1970,1,"not the first"
"1954","Pararhadinorhynchus coorongensis","Pararhadinorhynchus",1973,1,"not the first"
"1955","Pararhadinorhynchus mugilis","Pararhadinorhynchus",1947,1,"first"
"1956","Paratenuisentis ambiguus","Paratenuisentis",1921,15,"exclude"
"1971","Paulisentis fractus","Paulisentis",1948,1,"first"
"1972","Paulisentis missouriensis","Paulisentis",1974,1,"not the first"
"1973","Pilum pilum","Pilum",1976,7,"exclude"
"1980","Plagiorhynchus cylindraceus","Plagiorhynchus",1782,58,"first"
"2058","Polymorphus acutis","Polymorphus",1940,17,"not the first"
"2075","Polymorphus altmani","Polymorphus",1942,2,"not the first"
"2077","Polymorphus botulus","Polymorphus",1916,5,"not the first"
"2082","Polymorphus botulus","Polymorphus",NA,5,"not the first"
"2083","Polymorphus chasmagnathi","Polymorphus",NA,4,"not the first"
"2085","Polymorphus chasmagnathi","Polymorphus",1977,4,"not the first"
"2088","Polymorphus contortus","Polymorphus",1821,3,"not the first"
"2091","Polymorphus gavii","Polymorphus",1965,3,"not the first"
"2094","Polymorphus magnus","Polymorphus",1913,40,"not the first"
"2135","Polymorphus marilis","Polymorphus",1939,5,"not the first"
"2140","Polymorphus meyeri","Polymorphus",1942,2,"not the first"
"2142","Polymorphus minutus","Polymorphus",1800,37,"not the first"
"2180","Polymorphus obtusus","Polymorphus",1918,9,"not the first"
"2189","Polymorphus paradoxus","Polymorphus",1957,9,"not the first"
"2198","Polymorphus phippsi","Polymorphus",1922,4,"not the first"
"2202","Pomphorhynchus bulbocolli","Pomphorhynchus",1919,75,"not the first"
"2279","Pomphorhynchus francoisae","Pomphorhynchus",1969,1,"not the first"
"2280","Pomphorhynchus kashmirensis","Pomphorhynchus",1941,6,"not the first"
"2286","Pomphorhynchus kostylewi","Pomphorhynchus",1956,2,"not the first"
"2288","Pomphorhynchus laevis","Pomphorhynchus",1776,105,"first"
"2405","Pomphorhynchus lucyi","Pomphorhynchus",1984,13,"not the first"
"2418","Pomphorhynchus rocci","Pomphorhynchus",1967,8,"not the first"
"2426","Pomphorhynchus sebastichthydis","Pomphorhynchus",1939,1,"not the first"
"2427","Pomphorhynchus yamagutii","Pomphorhynchus",1973,1,"not the first"
"2428","Prosthorhynchus transversus","Prosthorhynchus",1819,17,"not the first"
"2445","Pseudoacanthocephalus bufonis","Pseudoacanthocephalus",1903,9,"first"
"2454","Pseudocavisoma chromitidis","Pseudocavisoma",1954,1,"exclude"
"2455","Pseudorhadinorhynchus cinereus","Pseudorhadinorhynchus",1983,2,"not the first"
"2457","Pseudorhadinorhynchus leuciscus","Pseudorhadinorhynchus",1956,3,"not the first"
"2460","Pseudorhadinorhynchus markewitchi","Pseudorhadinorhynchus",1941,1,"first"
"2461","Pseudorhadinorhynchus mujibi","Pseudorhadinorhynchus",1983,2,"not the first"
"2463","Pseudorhadinorhynchus orissai","Pseudorhadinorhynchus",1985,2,"not the first"
"2465","Pseudorhadinorhynchus srivastavai","Pseudorhadinorhynchus",1985,1,"not the first"
"2466","Raorhynchus polynemi","Raorhynchus",1959,2,"not the first"
"2468","Raorhynchus schmidti","Raorhynchus",NA,2,"not the first"
"2470","Raorhynchus terebra","Raorhynchus",1819,6,"first"
"2476","Raosentis thapari","Raosentis",1967,2,"not the first"
"2478","Metarhadinorhynchus arii","Metarhadinorhynchus",1966,2,"not the first"
"2480","Rhadinorhynchus arii","Rhadinorhynchus",1966,2,"not the first"
"2482","Rhadinorhynchus atheri","Rhadinorhynchus",1981,1,"not the first"
"2483","Rhadinorhynchus cadenati","Rhadinorhynchus",1964,8,"not the first"
"2491","Rhadinorhynchus capensis","Rhadinorhynchus",1974,1,"not the first"
"2492","Rhadinorhynchus carangis","Rhadinorhynchus",1939,3,"not the first"
"2495","Rhadinorhynchus cololabis","Rhadinorhynchus",1964,4,"not the first"
"2499","Rhadinorhynchus ditrematis","Rhadinorhynchus",1939,1,"not the first"
"2500","Rhadinorhynchus johnstoni","Rhadinorhynchus",1969,3,"not the first"
"2503","Rhadinorhynchus ornatus","Rhadinorhynchus",1918,2,"not the first"
"2505","Rhadinorhynchus plagioscionis","Rhadinorhynchus",1980,1,"not the first"
"2506","Rhadinorhynchus polynemi","Rhadinorhynchus",1967,2,"not the first"
"2508","Rhadinorhynchus seriolae","Rhadinorhynchus",1963,2,"not the first"
"2511","Rhadinorhynchus trachuri","Rhadinorhynchus",1935,14,"not the first"
"2526","Rhadinorhynchus vancleavei","Rhadinorhynchus",1969,3,"not the first"
"2529","Rhadinorhynchus wheeleri","Rhadinorhynchus",1929,1,"not the first"
"2530","Sachalinorhynchus skrjabini","Sachalinorhynchus",1956,1,"exclude"
"2531","Sclerocollum robustum","Sclerocollum",1964,2,"first"
"2533","Sclerocollum rubrimaris","Sclerocollum",1978,5,"not the first"
"2538","Serrasentis fotedari","Serrasentis",1979,1,"not the first"
"2539","Serrasentis nadakali","Serrasentis",1978,10,"not the first"
"2549","Serrasentis sagittifer","Serrasentis",1889,42,"not the first"
"2592","Solearhynchus soleae","Solearhynchus",1905,1,"exclude"
"2593","Sphaerirostris areolatus","Sphaerirostris",1819,4,"first"
"2597","Tanaorhamphus longirostris","Tanaorhamphus",1913,4,"exclude"
"2601","Tegorhynchus brevis","Tegorhynchus",1921,1,"first"
"2602","Tegorhynchus pectinarius","Tegorhynchus",1940,1,"not the first"
"2603","Telosentis australiensis","Telosentis",1964,1,"not the first"
"2604","Telosentis exiguus","Telosentis",1901,21,"first"
"2629","Telosentis molini","Telosentis",1923,6,"not the first"
"2635","Telosentis tenuicornis","Telosentis",1901,2,"first"
"2637","Tenuiproboscis misgurni","Tenuiproboscis",1935,2,"first"
"2639","Wolffhugelia matercula","Wolffhugelia",1974,5,"exclude"
"2644","Yamagutisentis neobythitis","Yamagutisentis",1939,2,"not the first"
"2646","Yamagutisentis rhinoplagusiae","Yamagutisentis",1935,2,"first"
"2648","Zeylanechinorhynchus longinuchalis","Zeylanechinorhynchus",1963,1,"exclude"
"2649","Acanthocephalus anthuris","Acanthocephalus",1845,6,"not the first"
"2655","Acanthocephalus falcatus","Acanthocephalus",1789,9,"not the first"
"2664","Acanthocephalus ranae","Acanthocephalus",1788,18,"not the first"
"2683","Acanthocephalus tenuirostris","Acanthocephalus",1941,2,"not the first"
"2685","Paracanthocephalus tenuirostris","Paracanthocephalus",1941,1,"first"
"2686","Andracantha tunitae","Andracantha",1914,1,"first"
"2687","Apororhynchus silesiacus","Apororhynchus",1980,1,"not the first"
"2688","Arhythmorhynchus anser","Arhythmorhynchus",NA,1,"not the first"
"2689","Arhythmorhynchus frassoni","Arhythmorhynchus",1858,5,"first"
"2694","Arhythmorhynchus longicollis","Arhythmorhynchus",1875,4,"not the first"
"2698","Centrorhynchus amphibius","Centrorhynchus",1950,1,"not the first"
"2699","Centrorhynchus appendiculatum","Centrorhynchus",1821,1,"not the first"
"2700","Centrorhynchus areolatus","Centrorhynchus",1819,4,"not the first"
"2704","Centrorhynchus buteonis","Centrorhynchus",1788,12,"not the first"
"2716","Centrorhynchus cylindraceus","Centrorhynchus",1788,2,"not the first"
"2718","Centrorhynchus dimorphocephalus","Centrorhynchus",1821,2,"not the first"
"2720","Centrorhynchus globocaudatus","Centrorhynchus",1800,35,"not the first"
"2756","Centrorhynchus lancea","Centrorhynchus",1821,6,"not the first"
"2762","Centrorhynchus ninnii","Centrorhynchus",1891,2,"not the first"
"2764","Centrorhynchus teres","Centrorhynchus",1821,4,"not the first"
"2768","Corynosoma hadweni","Corynosoma",1953,7,"not the first"
"2775","Corynosoma magdaleni","Corynosoma",1958,8,"not the first"
"2783","Corynosoma wegeneri","Corynosoma",1934,21,"not the first"
"2806","Echinorhynchus acus","Echinorhynchus",NA,4,"not the first"
"2810","Echinorhynchus amphipachus","Echinorhynchus",1821,1,"not the first"
"2811","Echinorhynchus appendiculatus","Echinorhynchus",1821,1,"not the first"
"2812","Echinorhynchus borealis","Echinorhynchus",1901,26,"not the first"
"2838","Pseudoechinorhynchus borealis","Pseudoechinorhynchus",1901,20,"not the first"
"2860","Echinorhynchus bothniensis","Echinorhynchus",1987,16,"not the first"
"2876","Echinorhynchus caudatus","Echinorhynchus",NA,1,"not the first"
"2877","Echinorhynchus clavula","Echinorhynchus",1845,8,"not the first"
"2885","Pseudoechinorhynchus clavula","Pseudoechinorhynchus",1845,17,"first"
"2902","Echinorhynchus dasyacanthus","Echinorhynchus",1846,1,"not the first"
"2903","Echinorhynchus fasciatus","Echinorhynchus",1821,8,"not the first"
"2911","Echinorhynchus filicollis","Echinorhynchus",NA,3,"not the first"
"2915","Echinorhynchus globulosus","Echinorhynchus",1809,2,"not the first"
"2917","Echinorhynchus hepaticus","Echinorhynchus",NA,1,"not the first"
"2918","Echinorhynchus inflatus","Echinorhynchus",NA,2,"not the first"
"2920","Echinorhynchus linstowii","Echinorhynchus",NA,1,"not the first"
"2921","Echinorhynchus longicollis","Echinorhynchus",NA,1,"not the first"
"2922","Echinorhynchus pachysomus","Echinorhynchus",NA,1,"not the first"
"2923","Echinorhynchus polymorphus","Echinorhynchus",1824,2,"not the first"
"2925","Echinorhynchus praetextus","Echinorhynchus",NA,1,"not the first"
"2926","Echinorhynchus proteus","Echinorhynchus",1821,4,"not the first"
"2930","Echinorhynchus stellaris","Echinorhynchus",NA,1,"not the first"
"2931","Echinorhynchus truttae","Echinorhynchus",1788,22,"not the first"
"2956","Metechinorhynchus truttae","Metechinorhynchus",1788,19,"not the first"
"2976","Echinorhynchus tuba","Echinorhynchus",1802,1,"not the first"
"2977","Neoechinorhynchus octonucleatus","Neoechinorhynchus",1933,1,"not the first"
"2978","Echinorhynchus versicolor","Echinorhynchus",1819,2,"not the first"
"2980","Leptorhynchoides plagicephalus","Leptorhynchoides",1821,8,"first"
"2991","Macracanthorhynchus catulinus","Macracanthorhynchus",1927,38,"not the first"
"3029","Mediorhynchus garruli","Mediorhynchus",1939,1,"not the first"
"3031","Mediorhynchus papillosus","Mediorhynchus",1916,26,"not the first"
"3057","Mediorhynchus rodensis","Mediorhynchus",1971,1,"not the first"
"3058","Mediorhynchus tenuis","Mediorhynchus",1931,8,"not the first"
"3066","Mediorhynchus zosteropis","Mediorhynchus",1913,2,"not the first"
"3163","Moniliformis circumflexum","Moniliformis",1858,1,"not the first"
"3164","Nephridiacanthus major","Nephridiacanthus",1811,1,"exclude"
"3165","Nephridiorhynchus major","Nephridiorhynchus",1811,2,"first"
"3167","Nephridiorhynchus majus","Nephridiorhynchus",1821,2,"not the first"
"3169","Oligacanthorhynchus circumflexus","Oligacanthorhynchus",1858,1,"not the first"
"3170","Oligacanthorhynchus compressus","Oligacanthorhynchus",1802,3,"not the first"
"3173","Oligacanthorhynchus erinacei","Oligacanthorhynchus",1793,2,"first"
"3175","Oligacanthorhynchus lageniformis","Oligacanthorhynchus",1821,1,"not the first"
"3176","Oligacanthorhynchus oligacanthus","Oligacanthorhynchus",1819,1,"not the first"
"3177","Oligacanthorhynchus ricinoides","Oligacanthorhynchus",1809,3,"not the first"
"3180","Oncicola canis","Oncicola",1909,5,"not the first"
"3185","Plagiorhynchus charadrii","Plagiorhynchus",1939,16,"not the first"
"3205","Plagiorhynchus crassicollis","Plagiorhynchus",1875,2,"not the first"
"3207","Plagiorhynchus gracilis","Plagiorhynchus",1958,6,"not the first"
"3218","Plagiorhynchus odhneri","Plagiorhynchus",1942,3,"not the first"
"3221","Polymorphus diploinflatus","Polymorphus",1942,1,"not the first"
"3222","Polymorphus striatus","Polymorphus",1782,4,"first"
"3226","Polymorphus strumosoides","Polymorphus",1942,7,"not the first"
"3233","Pomphorhynchus bosniacus","Pomphorhynchus",NA,7,"not the first"
"3244","Profilicollis botulus","Profilicollis",1916,9,"first"
"3298","Prosthorhynchus cylindraceus","Prosthorhynchus",1782,15,"first"
"3312","Prosthorhynchus cylindraceus","Prosthorhynchus",1778,15,"first"
"3315","Prosthorhynchus formosus","Prosthorhynchus",1918,2,"not the first"
"3317","Prosthorhynchus genitopapillatus","Prosthorhynchus",1942,23,"not the first"
"3340","Prosthorhynchus linearis","Prosthorhynchus",1821,2,"not the first"
"3342","Pseudoacanthocephalus bufonicola","Pseudoacanthocephalus",1941,2,"not the first"
"3383","Pseudorhadinorhynchus salmothymi","Pseudorhadinorhynchus",NA,1,"not the first"
"3384","Rhadinorhynchus pristis","Rhadinorhynchus",1802,33,"not the first"
"3419","Sphaerirostris lancea","Sphaerirostris",1821,13,"not the first"
"3432","Sphaerirostris lanceoides","Sphaerirostris",1949,1,"not the first"
"3433","Sphaerirostris picae","Sphaerirostris",1819,8,"first"
"3441","Sphaerirostris pinguis","Sphaerirostris",1918,3,"not the first"
"3444","Sphaerirostris scanensis","Sphaerirostris",1942,3,"not the first"
"3447","Sphaerirostris teres","Sphaerirostris",1819,23,"first"
"3470","Sphaerirostris turdi","Sphaerirostris",1939,4,"not the first"
"3474","Acanthocephalus caucasicus","Acanthocephalus",1953,1,"not the first"
"3475","Arhythmorhynchus capellae","Arhythmorhynchus",1935,2,"not the first"
"3477","Arhythmorhynchus petrochenkoi","Arhythmorhynchus",1969,7,"not the first"
"3484","Bolbosoma caenoforme","Bolbosoma",1919,11,"not the first"
